Company_ID,Year,Environmental_Score,Social_Score,Governance_Score,ESG_Score
C0009,2024,63.61,45.96,51.35,53.64
C0010,2015,45.98,41.82,51.06,46.29
C0010,2016,75.66,42.64,48.07,55.46
C0010,2017,78.04,81.71,58.60,72.78
C0010,2018,68.06,45.90,82.35,65.44
C0010,2019,78.55,42.26,81.40,67.40
C0010,2020,64.69,61.89,59.14,61.91
C0010,2021,66.14,82.20,69.46,72.60
C0010,2022,61.38,53.12,76.04,63.51
C0010,2023,41.27,61.09,52.06,51.47
C0010,2024,45.39,42.00,48.41,45.27
C0011,2015,41.57,62.45,88.60,64.21
C0011,2016,71.82,68.88,70.88,70.53
C0011,2017,55.72,68.55,89.07,71.11
C0011,2018,65.43,56.62,56.89,59.65
C0011,2019,85.38,55.78,75.15,72.10
C0011,2020,52.46,45.33,51.13,49.64
C0011,2021,60.52,58.34,53.06,57.31
C0011,2022,77.78,44.97,65.60,62.78
C0011,2023,51.44,78.33,55.98,61.92
C0011,2024,43.85,88.31,48.38,60.18
C0012,2015,54.49,88.50,53.14,65.38
C0012,2016,48.06,83.25,41.79,57.70
C0012,2017,86.48,70.04,75.22,77.25
C0012,2018,80.41,75.04,64.61,73.35
C0012,2019,71.67,54.26,44.71,56.88
C0012,2020,83.57,71.54,48.58,67.90
C0012,2021,80.18,62.78,45.13,62.70
C0012,2022,49.33,64.10,70.63,61.35
C0012,2023,84.63,77.89,44.71,69.08
C0012,2024,66.97,54.10,77.71,66.26
C0013,2015,80.37,55.90,41.03,59.10
C0013,2016,84.80,86.23,52.47,74.50
C0013,2017,55.90,42.81,84.53,61.08
C0013,2018,45.50,64.28,75.93,61.90
C0013,2019,51.40,85.64,43.65,60.23
C0013,2020,61.36,70.52,81.06,70.98
C0013,2021,80.90,67.32,64.65,70.96
C0013,2022,83.04,52.49,82.34,72.62
C0013,2023,40.35,57.16,70.04,55.85
C0013,2024,65.54,82.60,74.09,74.08
C0014,2015,60.87,67.96,89.68,72.84
C0014,2016,51.11,65.74,51.62,56.15
C0014,2017,45.99,44.98,71.20,54.06
C0014,2018,56.88,40.80,63.02,53.57
C0014,2019,87.15,88.18,41.97,72.43
C0014,2020,56.16,58.85,40.72,51.91
C0014,2021,65.94,70.16,45.96,60.69
C0014,2022,75.15,43.99,72.45,63.86
C0014,2023,58.18,74.16,68.36,66.90
C0014,2024,88.59,86.63,67.67,80.96
C0015,2015,88.12,68.78,41.59,66.17
C0015,2016,52.59,46.31,63.47,54.12
C0015,2017,64.86,69.09,86.23,73.39
C0015,2018,55.04,78.32,59.88,64.41
C0015,2019,54.24,60.32,71.25,61.94
C0015,2020,41.84,83.99,78.99,68.28
C0015,2021,70.48,72.43,79.20,74.04
C0015,2022,65.13,84.96,65.96,72.02
C0015,2023,42.57,71.18,82.90,65.55
C0015,2024,53.93,46.56,59.57,53.36
C0016,2015,85.41,55.48,84.43,75.11
C0016,2016,51.98,50.09,52.01,51.36
C0016,2017,47.24,85.44,54.01,62.23
C0016,2018,64.47,78.02,42.66,61.72
C0016,2019,89.28,73.82,79.78,80.96
C0016,2020,52.10,55.05,60.85,56.00
C0016,2021,73.61,49.20,51.46,58.09
C0016,2022,78.08,77.82,51.59,69.16
C0016,2023,51.88,63.71,85.07,66.89
C0016,2024,76.41,51.29,81.70,69.80
C0017,2015,58.39,70.83,67.68,65.63
C0017,2016,71.62,42.02,70.81,61.48
C0017,2017,71.68,56.31,63.72,63.90
C0017,2018,66.79,63.43,59.58,63.27
C0017,2019,44.51,47.40,85.77,59.23
C0017,2020,81.77,89.23,46.28,72.43
C0017,2021,56.04,50.45,60.92,55.81
C0017,2022,49.33,46.52,57.23,51.02
C0017,2023,42.04,50.18,64.91,52.37
C0017,2024,69.54,78.45,62.88,70.29
C0018,2015,73.88,61.28,65.94,67.03
C0018,2016,40.83,68.27,47.00,52.03
C0018,2017,65.60,41.05,65.66,57.44
C0018,2018,51.32,41.72,52.12,48.39
C0018,2019,72.26,62.29,49.22,61.26
C0018,2020,48.72,80.83,43.24,57.60
C0018,2021,74.55,84.26,78.13,78.98
C0018,2022,59.34,44.34,61.37,55.01
C0018,2023,86.84,66.92,71.33,75.03
C0018,2024,46.88,85.66,76.38,69.64
C0019,2015,57.05,59.40,73.97,63.47
C0019,2016,45.67,81.48,63.53,63.56
C0019,2017,86.23,46.68,59.39,64.10
C0019,2018,83.87,86.77,58.80,76.48
C0019,2019,52.90,77.57,72.00,67.49
C0019,2020,73.00,87.07,64.74,74.94
C0019,2021,80.86,73.83,82.46,79.05
C0019,2022,67.76,58.17,83.74,69.89
C0019,2023,66.48,86.91,48.53,67.31
C0019,2024,52.09,53.78,46.81,50.89
C0020,2015,44.66,56.61,71.52,57.59
C0020,2016,84.86,75.04,55.06,71.65
C0020,2017,85.02,78.27,40.93,68.07
C0020,2018,71.66,86.47,84.43,80.85
C0020,2019,56.95,50.24,51.35,52.85
C0020,2020,57.46,79.90,86.46,74.61
C0020,2021,76.30,76.93,75.87,76.37
C0020,2022,84.86,43.19,78.13,68.73
C0020,2023,84.35,59.36,50.07,64.60
C0020,2024,78.99,54.14,51.71,61.61
C0021,2015,72.10,55.22,66.06,64.46
C0021,2016,44.21,89.15,48.60,60.65
C0021,2017,48.08,72.14,55.27,58.50
C0021,2018,84.93,75.88,56.07,72.29
C0021,2019,70.32,88.83,47.98,69.04
C0021,2020,40.46,58.86,50.26,49.86
C0021,2021,45.07,80.09,79.43,68.20
C0021,2022,73.18,61.73,48.36,61.09
C0021,2023,40.25,83.48,41.42,55.05
C0021,2024,48.04,49.03,71.47,56.18
C0022,2015,67.44,87.38,88.80,81.21
C0022,2016,74.59,50.94,56.56,60.70
C0022,2017,72.60,56.31,45.93,58.28
C0022,2018,51.21,77.81,68.52,65.85
C0022,2019,75.61,59.69,85.32,73.54
C0022,2020,51.86,70.41,79.20,67.16
C0022,2021,56.27,62.23,71.13,63.21
C0022,2022,77.32,77.12,55.75,70.07
C0022,2023,72.48,51.42,67.09,63.66
C0022,2024,82.46,42.92,44.56,56.65
C0023,2015,72.88,55.00,73.95,67.27
C0023,2016,68.42,63.72,76.25,69.46
C0023,2017,44.68,48.40,88.25,60.45
C0023,2018,58.39,57.74,53.02,56.38
C0023,2019,53.26,60.00,40.92,51.39
C0023,2020,52.20,42.87,67.28,54.12
C0023,2021,88.65,69.17,75.34,77.72
C0023,2022,59.65,84.22,79.52,74.46
C0023,2023,84.60,47.59,49.69,60.63
C0023,2024,71.56,69.89,53.09,64.84
C0024,2015,79.74,73.24,65.63,72.87
C0024,2016,65.13,60.97,56.53,60.88
C0024,2017,68.85,75.05,83.03,75.64
C0024,2018,64.63,60.54,63.69,62.95
C0024,2019,49.76,65.23,79.98,64.99
C0024,2020,76.12,40.37,69.03,61.84
C0024,2021,54.04,74.59,78.65,69.09
C0024,2022,41.22,73.07,56.63,56.97
C0024,2023,72.27,41.92,81.57,65.25
C0024,2024,48.86,58.41,53.73,53.67
C0025,2015,87.02,88.95,67.30,81.09
C0025,2016,87.70,61.04,50.70,66.48
C0025,2017,85.74,65.10,63.78,71.54
C0025,2018,58.51,85.50,55.91,66.64
C0025,2019,40.77,75.86,53.34,56.66
C0025,2020,86.42,69.10,88.35,81.29
C0025,2021,61.41,79.89,48.00,63.10
C0025,2022,88.33,83.22,79.37,83.64
C0025,2023,88.18,62.84,89.21,80.08
C0025,2024,82.65,63.76,41.00,62.47
C0026,2015,54.72,59.30,74.95,62.99
C0026,2016,59.25,88.34,52.65,66.75
C0026,2017,82.56,74.86,42.02,66.48
C0026,2018,55.85,44.16,60.14,53.38
C0026,2019,48.47,83.15,86.76,72.79
C0026,2020,67.84,64.03,40.59,57.49
C0026,2021,86.81,43.44,69.39,66.55
C0026,2022,74.80,67.49,65.07,69.12
C0026,2023,68.50,60.86,83.67,71.01
C0026,2024,44.86,83.89,44.20,57.65
C0027,2015,70.75,50.20,74.08,65.01
C0027,2016,89.50,81.32,74.01,81.61
C0027,2017,47.00,67.88,73.45,62.78
C0027,2018,65.92,42.73,87.12,65.25
C0027,2019,83.87,88.59,81.15,84.54
C0027,2020,77.04,65.63,42.10,61.59
C0027,2021,74.85,54.54,63.55,64.32
C0027,2022,75.12,63.47,59.90,66.16
C0027,2023,57.97,82.89,55.51,65.46
C0027,2024,54.68,55.25,62.57,57.50
C0028,2015,80.47,49.63,59.21,63.10
C0028,2016,80.51,46.45,61.62,62.86
C0028,2017,83.35,54.89,88.96,75.74
C0028,2018,85.66,79.00,44.43,69.70
C0028,2019,65.57,63.58,86.11,71.75
C0028,2020,65.08,51.37,64.01,60.15
C0028,2021,79.91,48.31,71.19,66.47
C0028,2022,72.50,56.64,81.51,70.21
C0028,2023,75.10,87.00,58.02,73.37
C0028,2024,79.79,57.15,61.52,66.15
C0029,2015,84.50,89.41,60.48,78.13
C0029,2016,56.90,64.26,58.74,59.97
C0029,2017,58.78,48.96,86.28,64.67
C0029,2018,44.70,84.56,81.45,70.23
C0029,2019,68.91,63.02,45.45,59.13
C0029,2020,41.80,75.48,45.41,54.23
C0029,2021,63.28,89.19,61.39,71.29
C0029,2022,67.13,42.51,44.93,51.52
C0029,2023,54.33,44.83,70.95,56.71
C0029,2024,69.54,76.02,47.18,64.25
C0030,2015,41.53,54.09,66.12,53.91
C0030,2016,41.87,49.22,40.36,43.81
C0030,2017,81.13,41.97,55.83,59.64
C0030,2018,58.01,41.09,73.86,57.65
C0030,2019,46.35,78.72,64.20,63.09
C0030,2020,66.11,46.72,88.91,67.25
C0030,2021,78.50,63.39,83.71,75.20
C0030,2022,50.79,70.29,57.95,59.68
C0030,2023,71.14,61.42,42.27,58.28
C0030,2024,44.27,41.36,82.28,55.97
C0031,2015,42.58,79.18,85.56,69.11
C0031,2016,66.57,40.53,81.03,62.71
C0031,2017,67.03,78.09,46.40,63.84
C0031,2018,71.87,84.67,89.90,82.14
C0031,2019,76.30,61.64,52.93,63.63
C0031,2020,88.79,66.78,76.21,77.26
C0031,2021,65.82,63.85,85.40,71.69
C0031,2022,56.15,59.46,51.78,55.80
C0031,2023,79.76,84.37,85.41,83.18
C0031,2024,53.54,84.70,55.47,64.57
C0032,2015,61.95,56.79,88.82,69.19
C0032,2016,43.92,70.75,54.06,56.25
C0032,2017,41.27,86.35,87.67,71.76
C0032,2018,88.13,88.10,42.68,72.97
C0032,2019,81.80,65.45,75.46,74.24
C0032,2020,74.80,62.64,66.61,68.02
C0032,2021,60.45,53.93,63.89,59.43
C0032,2022,48.66,87.94,51.17,62.59
C0032,2023,47.82,47.14,75.28,56.75
C0032,2024,52.51,68.99,49.54,57.01
C0033,2015,67.46,54.13,67.64,63.08
C0033,2016,75.73,53.95,52.66,60.78
C0033,2017,73.01,60.25,87.78,73.68
C0033,2018,54.00,89.94,41.43,61.79
C0033,2019,87.74,42.75,49.99,60.16
C0033,2020,76.89,68.93,52.12,65.98
C0033,2021,67.72,44.13,60.70,57.52
C0033,2022,70.59,47.73,51.64,56.65
C0033,2023,60.98,61.98,64.57,62.51
C0033,2024,52.39,65.52,83.62,67.18
C0034,2015,57.80,52.94,75.60,62.11
C0034,2016,77.89,55.82,69.00,67.57
C0034,2017,40.72,44.35,44.45,43.17
C0034,2018,45.80,55.16,74.70,58.55
C0034,2019,42.30,88.33,48.32,59.65
C0034,2020,42.04,87.24,79.32,69.53
C0034,2021,82.77,56.74,52.50,64.01
C0034,2022,75.18,68.54,60.85,68.19
C0034,2023,63.71,85.48,57.52,68.90
C0034,2024,44.89,40.31,82.94,56.05
C0035,2015,64.58,80.53,46.33,63.81
C0035,2016,63.67,87.42,68.28,73.12
C0035,2017,48.66,44.57,47.10,46.78
C0035,2018,61.69,48.07,75.24,61.67
C0035,2019,59.93,88.04,85.25,77.74
C0035,2020,70.79,66.88,61.73,66.47
C0035,2021,71.75,40.71,64.40,58.96
C0035,2022,42.27,52.88,86.37,60.51
C0035,2023,58.73,62.50,66.05,62.43
C0035,2024,71.29,74.65,64.38,70.11
C0036,2015,65.16,76.66,68.92,70.24
C0036,2016,82.82,89.77,74.46,82.35
C0036,2017,72.93,54.38,45.34,57.55
C0036,2018,48.15,66.91,81.06,65.37
C0036,2019,43.53,66.67,61.78,57.32
C0036,2020,72.12,60.28,43.62,58.67
C0036,2021,41.33,48.46,79.31,56.36
C0036,2022,69.29,88.87,58.85,72.34
C0036,2023,87.01,82.67,45.02,71.57
C0036,2024,68.77,64.92,71.69,68.46
C0037,2015,59.41,70.16,84.01,71.19
C0037,2016,72.16,51.36,84.39,69.31
C0037,2017,62.91,67.19,87.88,72.66
C0037,2018,67.28,74.75,83.39,75.14
C0037,2019,87.07,65.76,40.11,64.31
C0037,2020,59.31,89.51,59.01,69.28
C0037,2021,88.06,70.57,80.93,79.85
C0037,2022,85.27,58.55,58.31,67.38
C0037,2023,49.79,78.61,70.08,66.16
C0037,2024,43.47,48.52,70.32,54.10
C0038,2015,45.04,59.23,58.25,54.17
C0038,2016,40.91,57.35,85.22,61.16
C0038,2017,44.72,61.59,65.16,57.16
C0038,2018,74.15,79.09,63.24,72.16
C0038,2019,43.56,64.21,89.88,65.88
C0038,2020,55.95,79.70,64.68,66.77
C0038,2021,82.24,68.82,48.92,66.66
C0038,2022,41.16,57.10,65.65,54.64
C0038,2023,80.72,80.50,80.70,80.64
C0038,2024,54.09,51.91,78.84,61.62
C0039,2015,45.91,51.22,79.43,58.85
C0039,2016,74.84,65.23,75.40,71.82
C0039,2017,71.45,53.04,52.71,59.07
C0039,2018,83.87,40.45,83.10,69.14
C0039,2019,76.75,72.41,84.67,77.95
C0039,2020,80.17,65.55,49.71,65.15
C0039,2021,54.10,62.28,46.52,54.30
C0039,2022,48.87,88.35,88.78,75.33
C0039,2023,77.53,68.56,83.42,76.50
C0039,2024,80.34,83.17,84.66,82.73
C0040,2015,89.53,46.97,84.32,73.61
C0040,2016,60.63,68.46,67.08,65.39
C0040,2017,58.60,83.40,72.32,71.44
C0040,2018,78.82,69.16,67.27,71.75
C0040,2019,57.04,75.90,42.56,58.50
C0040,2020,86.54,58.60,77.28,74.14
C0040,2021,82.92,44.62,65.27,64.27
C0040,2022,61.45,62.90,72.39,65.58
C0040,2023,77.54,59.72,65.13,67.47
C0040,2024,77.73,83.35,64.59,75.22
C0041,2015,45.16,52.20,48.59,48.65
C0041,2016,85.13,88.34,53.94,75.80
C0041,2017,65.26,87.91,47.94,67.04
C0041,2018,81.32,52.38,49.78,61.16
C0041,2019,56.00,57.40,88.65,67.35
C0041,2020,84.78,84.78,47.66,72.40
C0041,2021,59.46,88.33,53.46,67.08
C0041,2022,40.54,62.17,69.53,57.41
C0041,2023,85.27,56.05,70.51,70.61
C0041,2024,44.56,66.30,47.70,52.86
C0042,2015,55.97,74.39,79.69,70.01
C0042,2016,87.50,53.67,79.26,73.48
C0042,2017,87.53,76.82,51.87,72.07
C0042,2018,68.67,42.58,54.43,55.23
C0042,2019,71.59,42.46,86.90,66.99
C0042,2020,62.42,59.31,81.28,67.67
C0042,2021,54.66,57.67,74.89,62.41
C0042,2022,56.43,55.78,44.11,52.11
C0042,2023,73.63,64.55,60.91,66.36
C0042,2024,77.62,56.04,67.97,67.21
C0043,2015,79.58,49.61,49.37,59.52
C0043,2016,79.48,55.47,62.41,65.79
C0043,2017,44.56,88.75,70.05,67.79
C0043,2018,64.72,60.56,56.37,60.55
C0043,2019,42.88,62.24,79.05,61.39
C0043,2020,67.48,68.83,82.02,72.78
C0043,2021,62.08,89.17,56.18,69.14
C0043,2022,84.39,52.08,81.93,72.80
C0043,2023,57.55,74.06,45.18,58.93
C0043,2024,45.85,75.80,81.89,67.85
C0044,2015,47.15,70.37,47.64,55.05
C0044,2016,78.08,44.43,44.15,55.55
C0044,2017,70.91,73.84,72.09,72.28
C0044,2018,45.06,43.20,63.60,50.62
C0044,2019,44.21,69.81,85.39,66.47
C0044,2020,75.05,76.98,58.16,70.06
C0044,2021,43.64,50.55,54.36,49.51
C0044,2022,81.09,82.08,65.04,76.07
C0044,2023,75.31,41.52,62.80,59.88
C0044,2024,44.07,82.19,57.22,61.16
C0045,2015,44.24,63.02,74.69,60.65
C0045,2016,89.33,50.88,77.98,72.73
C0045,2017,58.71,46.69,82.65,62.68
C0045,2018,58.53,87.67,88.64,78.28
C0045,2019,80.64,43.63,53.33,59.20
C0045,2020,87.36,49.95,75.80,71.04
C0045,2021,89.30,57.39,59.71,68.80
C0045,2022,77.67,71.01,73.85,74.18
C0045,2023,58.81,67.24,63.80,63.28
C0045,2024,44.18,46.28,89.69,60.05
C0046,2015,78.86,54.49,76.45,69.93
C0046,2016,67.92,51.94,87.62,69.16
C0046,2017,61.21,50.68,81.75,64.55
C0046,2018,85.32,60.56,85.15,77.01
C0046,2019,45.56,75.20,80.72,67.16
C0046,2020,64.63,50.87,62.96,59.49
C0046,2021,40.57,58.33,52.59,50.50
C0046,2022,63.43,59.55,58.52,60.50
C0046,2023,42.82,88.82,41.01,57.55
C0046,2024,45.94,87.73,66.20,66.62
C0047,2015,45.88,80.01,65.25,63.71
C0047,2016,72.46,52.08,66.26,63.60
C0047,2017,77.30,43.40,88.70,69.80
C0047,2018,69.17,55.85,85.57,70.20
C0047,2019,88.11,53.34,48.09,63.18
C0047,2020,58.74,65.30,58.44,60.83
C0047,2021,54.29,78.89,61.20,64.79
C0047,2022,83.43,82.92,58.03,74.79
C0047,2023,51.18,82.24,79.92,71.12
C0047,2024,88.16,57.98,66.20,70.78
C0048,2015,40.61,74.36,68.60,61.19
C0048,2016,88.49,55.64,82.65,75.60
C0048,2017,42.16,43.05,80.30,55.17
C0048,2018,84.56,75.08,46.61,68.75
C0048,2019,66.39,40.49,75.70,60.86
C0048,2020,89.65,60.46,61.77,70.63
C0048,2021,43.69,56.47,54.73,51.63
C0048,2022,67.69,74.67,42.50,61.62
C0048,2023,88.47,78.31,64.36,77.05
C0048,2024,66.15,55.20,57.77,59.71
C0049,2015,71.47,80.58,52.58,68.21
C0049,2016,74.79,54.70,74.73,68.07
C0049,2017,62.73,62.32,78.47,67.84
C0049,2018,71.38,76.35,52.24,66.66
C0049,2019,69.22,74.65,42.47,62.11
C0049,2020,85.06,89.37,82.44,85.62
C0049,2021,42.27,51.26,40.50,44.68
C0049,2022,54.05,73.12,86.86,71.34
C0049,2023,87.52,70.48,71.38,76.46
C0049,2024,84.51,85.75,56.09,75.45
C0050,2015,62.78,47.82,52.32,54.31
C0050,2016,71.01,77.59,40.45,63.02
C0050,2017,53.87,68.41,51.77,58.02
C0050,2018,49.41,53.73,46.89,50.01
C0050,2019,63.18,63.72,70.61,65.84
C0050,2020,57.67,56.69,48.33,54.23
C0050,2021,69.18,68.97,66.43,68.19
C0050,2022,43.89,84.45,69.51,65.95
C0050,2023,88.72,68.47,54.90,70.70
C0050,2024,89.31,71.59,41.75,67.55
C0051,2015,74.91,65.94,41.86,60.90
C0051,2016,66.80,42.56,41.32,50.23
C0051,2017,55.48,51.64,76.96,61.36
C0051,2018,80.69,64.60,55.90,67.06
C0051,2019,74.24,55.51,79.82,69.85
C0051,2020,48.13,49.09,61.59,52.94
C0051,2021,85.55,65.21,62.65,71.13
C0051,2022,81.13,56.14,65.64,67.64
C0051,2023,87.49,52.91,75.65,72.02
C0051,2024,76.29,63.20,53.68,64.39
C0052,2015,70.67,46.66,46.08,54.47
C0052,2016,60.91,86.39,67.80,71.70
C0052,2017,86.64,83.39,56.35,75.46
C0052,2018,83.30,75.38,62.12,73.60
C0052,2019,42.26,45.31,72.35,53.31
C0052,2020,41.32,78.79,64.71,61.61
C0052,2021,58.82,80.40,71.01,70.08
C0052,2022,80.53,78.39,67.21,75.38
C0052,2023,89.36,45.70,76.99,70.68
C0052,2024,47.52,72.20,75.30,65.00
C0053,2015,69.71,81.72,66.71,72.71
C0053,2016,59.04,68.87,73.95,67.29
C0053,2017,88.50,72.32,83.68,81.50
C0053,2018,82.11,62.92,61.61,68.88
C0053,2019,81.92,66.44,60.64,69.66
C0053,2020,63.43,41.72,78.21,61.12
C0053,2021,60.74,71.95,69.13,67.27
C0053,2022,53.67,44.07,43.55,47.10
C0053,2023,42.82,61.75,84.61,63.06
C0053,2024,83.24,54.63,41.54,59.80
C0054,2015,80.65,67.27,77.42,75.11
C0054,2016,89.99,46.67,77.94,71.53
C0054,2017,89.83,74.58,87.66,84.02
C0054,2018,67.77,79.75,42.71,63.41
C0054,2019,78.45,48.17,69.84,65.49
C0054,2020,87.24,45.22,61.39,64.62
C0054,2021,82.48,47.28,56.53,62.10
C0054,2022,52.37,83.86,44.52,60.25
C0054,2023,62.53,66.41,68.13,65.69
C0054,2024,46.46,63.36,63.95,57.92
C0055,2015,87.70,45.34,45.23,59.42
C0055,2016,70.31,72.48,70.62,71.14
C0055,2017,51.43,83.40,76.90,70.58
C0055,2018,73.59,81.41,78.36,77.79
C0055,2019,70.91,71.30,85.27,75.83
C0055,2020,57.91,43.76,60.47,54.05
C0055,2021,45.68,45.62,87.65,59.65
C0055,2022,73.58,42.47,83.27,66.44
C0055,2023,66.02,52.87,54.83,57.90
C0055,2024,78.62,46.78,47.96,57.79
C0056,2015,66.01,53.00,61.77,60.26
C0056,2016,82.61,59.25,60.09,67.32
C0056,2017,67.60,87.15,68.79,74.51
C0056,2018,68.05,70.52,69.17,69.25
C0056,2019,83.83,81.75,77.50,81.03
C0056,2020,60.17,75.52,65.49,67.06
C0056,2021,46.70,45.63,45.24,45.86
C0056,2022,41.44,76.80,82.91,67.05
C0056,2023,77.76,53.75,55.49,62.33
C0056,2024,71.02,71.96,88.56,77.18
C0057,2015,75.20,57.05,45.89,59.38
C0057,2016,50.65,89.88,87.91,76.15
C0057,2017,46.82,53.18,44.55,48.18
C0057,2018,40.73,53.96,51.55,48.75
C0057,2019,57.53,86.53,42.33,62.13
C0057,2020,69.50,41.23,75.26,61.99
C0057,2021,59.61,74.83,82.51,72.32
C0057,2022,61.87,76.27,61.70,66.61
C0057,2023,85.21,81.82,86.43,84.48
C0057,2024,57.41,88.72,69.51,71.88
C0058,2015,65.70,88.78,71.50,75.33
C0058,2016,79.18,43.26,82.27,68.24
C0058,2017,59.83,81.09,54.84,65.25
C0058,2018,71.10,72.32,57.71,67.04
C0058,2019,83.12,72.37,85.30,80.26
C0058,2020,87.48,46.42,85.05,72.98
C0058,2021,47.35,72.51,88.82,69.56
C0058,2022,86.33,89.12,85.09,86.85
C0058,2023,64.61,85.59,46.37,65.52
C0058,2024,52.91,61.96,81.19,65.35
C0059,2015,62.96,42.00,60.49,55.15
C0059,2016,89.00,58.11,89.54,78.89
C0059,2017,64.63,81.32,63.61,69.85
C0059,2018,56.44,75.07,67.69,66.40
C0059,2019,71.67,62.97,66.49,67.04
C0059,2020,52.01,42.76,56.09,50.28
C0059,2021,43.79,61.34,43.75,49.63
C0059,2022,46.44,63.45,84.78,64.89
C0059,2023,46.40,86.43,80.13,70.99
C0059,2024,47.60,72.05,46.98,55.54
C0060,2015,46.94,55.58,78.84,60.45
C0060,2016,72.04,66.27,71.29,69.87
C0060,2017,49.09,43.30,60.46,50.95
C0060,2018,57.28,88.63,52.70,66.20
C0060,2019,84.84,58.00,82.99,75.28
C0060,2020,63.70,63.89,75.01,67.53
C0060,2021,73.38,57.76,67.39,66.18
C0060,2022,48.62,74.13,70.48,64.41
C0060,2023,49.61,73.11,44.55,55.76
C0060,2024,42.04,75.77,63.70,60.50
C0061,2015,48.45,53.41,49.69,50.51
C0061,2016,53.93,55.78,50.42,53.38
C0061,2017,48.85,46.26,73.07,56.06
C0061,2018,44.44,72.78,85.56,67.59
C0061,2019,46.03,41.99,60.19,49.40
