Company_ID,Year,Controversy_Score,Regulatory_Fines,ESG_Risk_Rating
C0021,2023,24.20,11.39,Low
C0021,2024,0.36,24.16,Low
C0022,2015,1.91,40.76,Low
C0022,2016,51.49,13.36,Medium
C0022,2017,51.36,19.51,Medium
C0022,2018,3.61,7.05,Low
C0022,2019,69.95,14.58,High
C0022,2020,2.69,45.10,Low
C0022,2021,48.66,34.04,Medium
C0022,2022,39.52,33.70,Medium
C0022,2023,88.30,12.49,High
C0022,2024,57.65,7.31,Medium
C0023,2015,82.24,44.37,High
C0023,2016,99.83,47.18,High
C0023,2017,17.74,2.68,Low
C0023,2018,6.28,26.51,Low
C0023,2019,77.45,21.99,High
C0023,2020,63.16,36.92,High
C0023,2021,63.41,15.09,High
C0023,2022,31.63,31.03,Medium
C0023,2023,10.24,4.13,Low
C0023,2024,72.12,41.15,High
C0024,2015,54.33,11.93,Medium
C0024,2016,50.15,15.70,Medium
C0024,2017,73.60,18.91,High
C0024,2018,98.86,10.33,High
C0024,2019,74.02,40.44,High
C0024,2020,93.46,3.43,High
C0024,2021,39.85,46.68,Medium
C0024,2022,89.81,46.53,High
C0024,2023,72.73,41.37,High
C0024,2024,37.17,47.61,Medium
C0025,2015,50.89,38.06,Medium
C0025,2016,20.24,28.13,Low
C0025,2017,8.13,36.08,Low
C0025,2018,46.74,0.20,Medium
C0025,2019,99.32,34.27,High
C0025,2020,87.04,2.10,High
C0025,2021,1.66,44.38,Low
C0025,2022,96.98,44.83,High
C0025,2023,46.89,5.72,Medium
C0025,2024,17.89,33.98,Low
C0026,2015,91.49,33.41,High
C0026,2016,92.49,24.90,High
C0026,2017,84.69,1.25,High
C0026,2018,62.13,5.71,High
C0026,2019,23.66,32.96,Low
C0026,2020,24.10,26.48,Low
C0026,2021,96.56,2.31,High
C0026,2022,27.88,25.88,Low
C0026,2023,42.25,42.46,Medium
C0026,2024,75.28,44.52,High
C0027,2015,82.35,34.85,High
C0027,2016,41.14,33.13,Medium
C0027,2017,39.56,38.46,Medium
C0027,2018,35.70,6.67,Medium
C0027,2019,38.84,9.51,Medium
C0027,2020,75.83,24.29,High
C0027,2021,6.19,22.55,Low
C0027,2022,80.02,9.22,High
C0027,2023,21.48,33.91,Low
C0027,2024,16.15,37.05,Low
C0028,2015,12.08,13.54,Low
C0028,2016,23.56,15.65,Low
C0028,2017,83.39,12.87,High
C0028,2018,53.80,13.93,Medium
C0028,2019,26.90,18.23,Low
C0028,2020,18.59,22.05,Low
C0028,2021,76.95,24.21,High
C0028,2022,50.55,24.25,Medium
C0028,2023,12.03,30.86,Low
C0028,2024,37.52,17.21,Medium
C0029,2015,44.50,25.17,Medium
C0029,2016,35.40,25.30,Medium
C0029,2017,26.52,4.83,Low
C0029,2018,32.90,31.47,Medium
C0029,2019,73.90,13.91,High
C0029,2020,95.30,2.35,High
C0029,2021,2.58,32.36,Low
C0029,2022,62.68,2.42,High
C0029,2023,7.28,22.09,Low
C0029,2024,20.22,31.06,Low
C0030,2015,54.44,49.93,Medium
C0030,2016,79.39,25.76,High
C0030,2017,43.56,15.91,Medium
C0030,2018,87.95,24.60,High
C0030,2019,71.58,9.79,High
C0030,2020,19.37,21.90,Low
C0030,2021,68.62,43.65,High
C0030,2022,31.84,6.81,Medium
C0030,2023,76.67,26.51,High
C0030,2024,23.06,31.04,Low
C0031,2015,14.45,15.65,Low
C0031,2016,63.77,36.80,High
C0031,2017,61.66,33.19,High
C0031,2018,57.35,23.20,Medium
C0031,2019,24.32,32.00,Low
C0031,2020,20.60,42.01,Low
C0031,2021,91.24,30.02,High
C0031,2022,53.27,28.44,Medium
C0031,2023,40.65,31.07,Medium
C0031,2024,81.95,33.78,High
C0032,2015,5.08,20.16,Low
C0032,2016,67.60,41.84,High
C0032,2017,14.74,46.20,Low
C0032,2018,22.61,31.09,Low
C0032,2019,63.95,44.34,High
C0032,2020,27.97,37.23,Low
C0032,2021,77.80,21.15,High
C0032,2022,51.86,24.80,Medium
C0032,2023,32.30,28.51,Medium
C0032,2024,86.46,46.95,High
C0033,2015,62.88,32.40,High
C0033,2016,42.13,25.43,Medium
C0033,2017,45.34,6.17,Medium
C0033,2018,26.86,33.34,Low
C0033,2019,10.85,27.74,Low
C0033,2020,30.26,47.00,Medium
C0033,2021,26.43,17.10,Low
C0033,2022,33.57,39.77,Medium
C0033,2023,46.92,14.13,Medium
C0033,2024,6.30,8.59,Low
C0034,2015,10.60,0.61,Low
C0034,2016,72.94,44.77,High
C0034,2017,18.34,22.23,Low
C0034,2018,33.90,14.06,Medium
C0034,2019,63.69,20.16,High
C0034,2020,97.69,35.59,High
C0034,2021,13.30,19.66,Low
C0034,2022,75.74,11.29,High
C0034,2023,49.13,4.39,Medium
C0034,2024,9.38,31.09,Low
C0035,2015,16.90,48.63,Low
C0035,2016,69.42,31.74,High
C0035,2017,87.95,47.34,High
C0035,2018,1.21,43.90,Low
C0035,2019,22.28,7.79,Low
C0035,2020,35.80,43.95,Medium
C0035,2021,98.88,0.05,High
C0035,2022,65.22,25.48,High
C0035,2023,36.08,26.14,Medium
C0035,2024,20.17,36.34,Low
C0036,2015,22.68,37.80,Low
C0036,2016,4.95,11.58,Low
C0036,2017,99.47,44.10,High
C0036,2018,98.22,8.96,High
C0036,2019,1.12,48.07,Low
C0036,2020,27.08,49.26,Low
C0036,2021,2.04,34.84,Low
C0036,2022,30.17,32.43,Medium
C0036,2023,90.13,48.96,High
C0036,2024,87.48,12.10,High
C0037,2015,68.49,32.13,High
C0037,2016,98.71,20.31,High
C0037,2017,74.60,8.38,High
C0037,2018,24.14,6.39,Low
C0037,2019,83.49,35.02,High
C0037,2020,50.79,11.45,Medium
C0037,2021,50.40,29.97,Medium
C0037,2022,83.29,11.88,High
C0037,2023,53.43,22.69,Medium
C0037,2024,32.73,37.12,Medium
C0038,2015,92.87,26.41,High
C0038,2016,7.36,43.57,Low
C0038,2017,65.78,26.31,High
C0038,2018,78.54,9.71,High
C0038,2019,5.12,44.86,Low
C0038,2020,23.44,20.90,Low
C0038,2021,22.32,43.37,Low
C0038,2022,88.93,11.62,High
C0038,2023,65.03,31.81,High
C0038,2024,21.69,8.26,Low
C0039,2015,90.98,4.00,High
C0039,2016,24.37,49.94,Low
C0039,2017,66.20,0.53,High
C0039,2018,45.24,29.56,Medium
C0039,2019,9.76,0.67,Low
C0039,2020,75.32,27.59,High
C0039,2021,32.77,5.00,Medium
C0039,2022,36.00,39.38,Medium
C0039,2023,21.46,14.64,Low
C0039,2024,80.43,17.22,High
C0040,2015,16.00,12.62,Low
C0040,2016,21.82,5.70,Low
C0040,2017,40.67,25.02,Medium
C0040,2018,14.88,22.38,Low
C0040,2019,11.28,26.97,Low
C0040,2020,52.17,31.30,Medium
C0040,2021,95.36,4.43,High
C0040,2022,80.18,20.68,High
C0040,2023,17.71,29.63,Low
C0040,2024,58.76,16.16,Medium
C0041,2015,79.36,9.57,High
C0041,2016,14.49,30.32,Low
C0041,2017,8.19,35.92,Low
C0041,2018,89.11,37.53,High
C0041,2019,24.50,16.28,Low
C0041,2020,49.79,4.95,Medium
C0041,2021,20.87,45.78,Low
C0041,2022,4.77,34.39,Low
C0041,2023,51.32,47.42,Medium
C0041,2024,43.51,7.28,Medium
C0042,2015,72.65,32.86,High
C0042,2016,85.74,9.82,High
C0042,2017,14.16,43.32,Low
C0042,2018,17.16,25.98,Low
C0042,2019,95.03,26.63,High
C0042,2020,41.79,46.54,Medium
C0042,2021,95.27,15.20,High
C0042,2022,33.84,30.95,Medium
C0042,2023,34.77,7.22,Medium
C0042,2024,70.70,18.16,High
C0043,2015,9.70,9.74,Low
C0043,2016,41.30,10.07,Medium
C0043,2017,38.05,33.05,Medium
C0043,2018,3.53,14.32,Low
C0043,2019,31.26,12.55,Medium
C0043,2020,39.85,40.40,Medium
C0043,2021,5.80,23.69,Low
C0043,2022,2.01,19.00,Low
C0043,2023,59.99,40.76,Medium
C0043,2024,20.58,24.44,Low
C0044,2015,36.26,40.75,Medium
C0044,2016,8.01,15.92,Low
C0044,2017,10.09,48.10,Low
C0044,2018,15.44,46.18,Low
C0044,2019,2.98,41.18,Low
C0044,2020,76.24,10.64,High
C0044,2021,90.62,36.37,High
C0044,2022,52.21,40.88,Medium
C0044,2023,81.64,18.17,High
C0044,2024,13.56,7.02,Low
C0045,2015,44.93,13.48,Medium
C0045,2016,14.30,29.28,Low
C0045,2017,99.53,12.59,High
C0045,2018,5.81,33.08,Low
C0045,2019,44.40,19.59,Medium
C0045,2020,11.22,11.28,Low
C0045,2021,6.87,30.66,Low
C0045,2022,73.50,3.69,High
C0045,2023,8.01,31.24,Low
C0045,2024,2.40,48.72,Low
C0046,2015,94.96,35.57,High
C0046,2016,18.48,16.40,Low
C0046,2017,84.44,45.06,High
C0046,2018,95.30,26.39,High
C0046,2019,75.20,26.42,High
C0046,2020,10.38,18.92,Low
C0046,2021,17.05,2.61,Low
C0046,2022,17.91,13.50,Low
C0046,2023,65.39,40.92,High
C0046,2024,17.96,12.99,Low
C0047,2015,3.00,20.62,Low
C0047,2016,45.86,31.70,Medium
C0047,2017,58.91,14.12,Medium
C0047,2018,46.04,40.59,Medium
C0047,2019,48.91,44.94,Medium
C0047,2020,45.68,3.08,Medium
C0047,2021,26.54,28.73,Low
C0047,2022,95.59,17.47,High
C0047,2023,83.81,27.72,High
C0047,2024,32.29,27.34,Medium
C0048,2015,3.97,0.50,Low
C0048,2016,85.80,32.42,High
C0048,2017,74.22,10.80,High
C0048,2018,8.12,27.96,Low
C0048,2019,69.80,44.77,High
C0048,2020,45.26,9.61,Medium
C0048,2021,13.04,13.51,Low
C0048,2022,72.47,3.18,High
C0048,2023,35.57,24.59,Medium
C0048,2024,91.04,43.50,High
C0049,2015,4.29,27.24,Low
C0049,2016,93.73,17.62,High
C0049,2017,8.80,45.29,Low
C0049,2018,3.62,26.61,Low
C0049,2019,58.18,48.68,Medium
C0049,2020,61.06,37.51,High
C0049,2021,19.76,45.57,Low
C0049,2022,87.60,32.42,High
C0049,2023,80.20,49.47,High
C0049,2024,28.26,26.27,Low
C0050,2015,44.31,32.03,Medium
C0050,2016,78.33,6.71,High
C0050,2017,83.34,46.84,High
C0050,2018,79.63,16.75,High
C0050,2019,26.79,33.25,Low
C0050,2020,76.53,18.03,High
C0050,2021,63.26,44.26,High
C0050,2022,52.62,5.52,Medium
C0050,2023,96.36,45.07,High
C0050,2024,59.80,31.29,Medium
C0051,2015,86.87,47.83,High
C0051,2016,75.23,25.18,High
C0051,2017,4.51,24.66,Low
C0051,2018,26.69,17.94,Low
C0051,2019,60.92,16.45,High
C0051,2020,43.83,6.17,Medium
C0051,2021,95.55,16.36,High
C0051,2022,58.36,30.46,Medium
C0051,2023,92.91,4.22,High
C0051,2024,20.59,9.30,Low
C0052,2015,89.78,43.00,High
C0052,2016,53.71,4.56,Medium
C0052,2017,21.41,12.06,Low
C0052,2018,39.02,0.19,Medium
C0052,2019,96.88,35.94,High
C0052,2020,95.95,42.54,High
C0052,2021,2.20,43.98,Low
C0052,2022,30.74,45.01,Medium
C0052,2023,89.93,20.18,High
C0052,2024,3.25,27.98,Low
C0053,2015,95.69,33.89,High
C0053,2016,38.80,45.73,Medium
C0053,2017,11.48,39.82,Low
C0053,2018,30.11,24.45,Medium
C0053,2019,80.82,25.49,High
C0053,2020,99.84,16.82,High
C0053,2021,13.38,0.58,Low
C0053,2022,63.76,7.22,High
C0053,2023,92.53,16.58,High
C0053,2024,89.97,30.30,High
C0054,2015,38.34,35.70,Medium
C0054,2016,86.58,44.55,High
C0054,2017,19.16,27.73,Low
C0054,2018,63.21,19.71,High
C0054,2019,59.80,34.57,Medium
C0054,2020,78.29,19.59,High
C0054,2021,22.90,5.42,Low
C0054,2022,62.89,0.21,High
C0054,2023,61.04,35.42,High
C0054,2024,8.42,44.95,Low
C0055,2015,33.06,33.90,Medium
C0055,2016,20.74,1.38,Low
C0055,2017,99.96,10.97,High
C0055,2018,99.06,47.32,High
C0055,2019,25.24,35.48,Low
C0055,2020,80.85,36.87,High
C0055,2021,81.65,40.32,High
C0055,2022,93.59,45.63,High
C0055,2023,12.92,21.96,Low
C0055,2024,66.76,21.51,High
C0056,2015,20.59,1.15,Low
C0056,2016,65.77,46.86,High
C0056,2017,87.22,6.53,High
C0056,2018,8.12,22.53,Low
C0056,2019,63.70,30.00,High
C0056,2020,53.76,49.69,Medium
C0056,2021,17.56,19.96,Low
C0056,2022,23.76,33.44,Low
C0056,2023,52.05,47.63,Medium
C0056,2024,86.05,28.57,High
C0057,2015,67.52,26.72,High
C0057,2016,2.74,28.65,Low
C0057,2017,12.62,40.89,Low
C0057,2018,88.27,2.13,High
C0057,2019,65.26,38.01,High
C0057,2020,1.81,8.61,Low
C0057,2021,59.61,38.36,Medium
C0057,2022,16.86,40.00,Low
C0057,2023,91.99,31.31,High
C0057,2024,12.24,21.96,Low
C0058,2015,7.70,36.62,Low
C0058,2016,64.48,0.95,High
C0058,2017,79.27,32.44,High
C0058,2018,27.38,11.62,Low
C0058,2019,30.13,33.02,Medium
C0058,2020,35.68,6.89,Medium
C0058,2021,76.58,8.98,High
C0058,2022,26.20,22.59,Low
C0058,2023,8.82,26.50,Low
C0058,2024,30.92,20.82,Medium
C0059,2015,96.60,30.55,High
C0059,2016,43.45,2.67,Medium
C0059,2017,56.00,9.67,Medium
C0059,2018,76.23,0.18,High
C0059,2019,55.85,28.30,Medium
C0059,2020,65.68,34.53,High
C0059,2021,88.03,24.18,High
C0059,2022,37.30,23.06,Medium
C0059,2023,11.15,21.29,Low
C0059,2024,9.45,16.80,Low
C0060,2015,78.26,29.41,High
C0060,2016,65.49,0.31,High
C0060,2017,56.65,29.77,Medium
C0060,2018,93.00,24.49,High
C0060,2019,62.68,31.28,High
C0060,2020,4.77,42.72,Low
C0060,2021,46.87,41.44,Medium
C0060,2022,21.49,40.36,Low
C0060,2023,62.13,20.57,High
C0060,2024,18.77,19.50,Low
C0061,2015,64.50,10.34,High
C0061,2016,88.33,1.58,High
C0061,2017,7.72,25.26,Low
C0061,2018,25.90,48.74,Low
C0061,2019,67.35,37.61,High
C0061,2020,71.12,27.37,High
C0061,2021,58.68,14.90,Medium
C0061,2022,13.91,6.09,Low
C0061,2023,24.26,13.19,Low
C0061,2024,90.74,26.71,High
C0062,2015,81.92,31.20,High
C0062,2016,95.00,18.30,High
C0062,2017,40.91,5.25,Medium
C0062,2018,43.96,13.15,Medium
C0062,2019,25.89,12.85,Low
C0062,2020,52.45,26.76,Medium
C0062,2021,82.99,5.17,High
C0062,2022,24.77,14.41,Low
C0062,2023,14.06,17.18,Low
C0062,2024,75.05,26.36,High
C0063,2015,69.34,14.94,High
C0063,2016,82.92,7.49,High
C0063,2017,75.15,1.27,High
C0063,2018,41.93,8.65,Medium
C0063,2019,15.68,41.24,Low
C0063,2020,71.45,17.51,High
C0063,2021,87.84,26.95,High
C0063,2022,15.28,24.50,Low
C0063,2023,51.87,13.81,Medium
C0063,2024,32.89,42.17,Medium
C0064,2015,51.95,46.93,Medium
C0064,2016,3.13,10.62,Low
C0064,2017,35.35,40.37,Medium
C0064,2018,48.42,37.79,Medium
C0064,2019,15.09,41.91,Low
C0064,2020,40.75,20.44,Medium
C0064,2021,17.60,34.31,Low
C0064,2022,21.57,9.50,Low
C0064,2023,97.77,48.41,High
C0064,2024,60.18,36.13,High
C0065,2015,38.94,3.83,Medium
C0065,2016,52.13,43.90,Medium
C0065,2017,38.31,47.95,Medium
C0065,2018,60.18,16.68,High
C0065,2019,0.05,26.94,Low
C0065,2020,23.61,49.60,Low
C0065,2021,98.89,22.55,High
C0065,2022,11.23,33.29,Low
C0065,2023,7.89,22.62,Low
C0065,2024,49.32,3.78,Medium
C0066,2015,29.08,25.48,Low
C0066,2016,53.38,41.34,Medium
C0066,2017,96.07,2.08,High
C0066,2018,12.62,22.05,Low
C0066,2019,44.00,41.11,Medium
C0066,2020,75.88,17.67,High
C0066,2021,16.07,48.87,Low
C0066,2022,71.21,19.16,High
C0066,2023,40.02,39.16,Medium
C0066,2024,62.08,12.28,High
C0067,2015,52.56,16.62,Medium
C0067,2016,45.06,36.05,Medium
C0067,2017,47.90,2.85,Medium
C0067,2018,14.72,4.69,Low
C0067,2019,43.42,13.34,Medium
C0067,2020,75.31,12.54,High
C0067,2021,89.67,3.30,High
C0067,2022,62.67,48.59,High
C0067,2023,82.73,14.68,High
C0067,2024,50.76,36.13,Medium
C0068,2015,21.62,19.65,Low
C0068,2016,72.39,49.55,High
C0068,2017,70.18,7.02,High
C0068,2018,0.73,18.72,Low
C0068,2019,47.95,21.59,Medium
C0068,2020,93.67,35.87,High
C0068,2021,98.44,24.80,High
C0068,2022,45.69,37.52,Medium
C0068,2023,72.18,42.06,High
C0068,2024,1.76,14.46,Low
C0069,2015,26.81,40.20,Low
C0069,2016,72.18,24.58,High
C0069,2017,65.30,3.83,High
C0069,2018,66.06,14.85,High
C0069,2019,69.65,40.15,High
C0069,2020,42.93,19.45,Medium
C0069,2021,93.79,4.66,High
C0069,2022,36.61,31.92,Medium
C0069,2023,90.21,42.52,High
C0069,2024,6.03,6.64,Low
C0070,2015,84.92,27.15,High
C0070,2016,30.33,10.39,Medium
C0070,2017,65.98,16.89,High
C0070,2018,5.50,20.70,Low
C0070,2019,8.00,0.26,Low
C0070,2020,5.70,17.79,Low
C0070,2021,48.49,15.47,Medium
C0070,2022,41.62,33.42,Medium
C0070,2023,31.92,44.01,Medium
C0070,2024,44.60,5.26,Medium
C0071,2015,31.36,24.14,Medium
C0071,2016,87.15,13.83,High
C0071,2017,56.28,49.38,Medium
C0071,2018,31.02,39.02,Medium
C0071,2019,45.47,5.89,Medium
C0071,2020,86.72,18.44,High
C0071,2021,40.91,5.56,Medium
C0071,2022,42.72,39.35,Medium
C0071,2023,33.77,24.35,Medium
C0071,2024,26.05,32.36,Low
C0072,2015,47.18,28.74,Medium
C0072,2016,73.66,9.13,High
C0072,2017,36.80,0.65,Medium
C0072,2018,22.68,43.51,Low
C0072,2019,66.00,4.62,High
C0072,2020,80.86,39.57,High
C0072,2021,2.18,9.57,Low
C0072,2022,63.24,42.64,High
C0072,2023,90.09,29.69,High
C0072,2024,8.84,19.96,Low
C0073,2015,89.93,32.92,High
C0073,2016,11.78,13.69,Low
C0073,2017,99.68,20.93,High
C0073,2018,51.18,41.19,Medium
C0073,2019,73.00,0.45,High
C0073,2020,6.28,11.70,Low
C0073,2021,10.25,37.06,Low
C0073,2022,96.33,35.97,High
C0073,2023,98.85,8.18,High
C0073,2024,27.71,49.15,Low
C0074,2015,34.19,33.82,Medium
C0074,2016,1.00,18.57,Low
C0074,2017,95.60,17.54,High
C0074,2018,91.76,26.13,High
C0074,2019,11.60,1.81,Low
C0074,2020,36.51,35.73,Medium
C0074,2021,96.67,3.42,High
C0074,2022,12.58,32.65,Low
C0074,2023,87.37,40.09,High
C0074,2024,20.17,45.26,Low
C0075,2015,6.83,7.38,Low
C0075,2016,14.22,37.27,Low
C0075,2017,70.99,49.16,High
C0075,2018,13.73,3.39,Low
C0075,2019,0.37,1.41,Low
C0075,2020,77.57,10.62,High
C0075,2021,65.55,10.25,High
C0075,2022,87.82,15.97,High
C0075,2023,57.77,46.18,Medium
C0075,2024,4.56,34.15,Low
C0076,2015,2.16,0.54,Low
C0076,2016,78.53,24.77,High
C0076,2017,88.99,43.79,High
C0076,2018,80.03,26.72,High
C0076,2019,37.40,9.71,Medium
C0076,2020,66.21,47.70,High
C0076,2021,7.78,15.37,Low
C0076,2022,71.82,17.50,High
C0076,2023,24.96,17.81,Low
C0076,2024,93.43,19.74,High
C0077,2015,33.77,35.44,Medium
C0077,2016,33.93,15.73,Medium
C0077,2017,28.63,23.25,Low
C0077,2018,63.35,13.17,High
C0077,2019,9.69,25.40,Low
C0077,2020,5.35,47.37,Low
C0077,2021,69.61,14.48,High
C0077,2022,94.56,40.82,High
C0077,2023,74.37,10.95,High
C0077,2024,24.99,7.23,Low
C0078,2015,36.22,4.56,Medium
C0078,2016,20.34,48.99,Low
C0078,2017,68.41,28.52,High
C0078,2018,23.73,25.71,Low
C0078,2019,57.13,0.36,Medium
C0078,2020,83.95,24.21,High
C0078,2021,51.64,33.14,Medium
C0078,2022,59.35,20.50,Medium
C0078,2023,96.81,6.45,High
