Company_ID,Year,Revenue,Net_Income,ROA,ROE
C0014,2016,9850.17,566.16,14.30,5.90
C0014,2017,9120.24,1594.04,9.29,23.79
C0014,2018,387.03,37.37,10.68,11.16
C0014,2019,7730.21,459.68,3.47,23.35
C0014,2020,1192.31,72.99,3.87,10.45
C0014,2021,372.10,32.66,8.04,23.15
C0014,2022,2809.59,215.50,14.37,23.08
C0014,2023,2766.52,459.64,6.69,23.47
C0014,2024,8211.26,806.78,13.41,14.92
C0015,2015,7135.61,1218.08,3.56,22.32
C0015,2016,9817.93,746.92,10.02,24.02
C0015,2017,7143.98,885.37,9.81,11.49
C0015,2018,4240.73,649.70,13.18,13.38
C0015,2019,7019.38,1037.46,2.04,19.38
C0015,2020,9994.64,1400.94,4.47,11.01
C0015,2021,7130.40,1345.67,4.86,20.08
C0015,2022,7640.65,643.94,14.35,6.48
C0015,2023,9389.81,1164.88,4.00,15.47
C0015,2024,1225.15,223.71,2.48,7.45
C0016,2015,7077.36,436.56,8.95,10.87
C0016,2016,8522.98,497.60,8.87,10.17
C0016,2017,9548.35,811.57,12.97,21.78
C0016,2018,2188.60,317.24,14.34,8.87
C0016,2019,5088.90,452.82,9.00,21.17
C0016,2020,6837.49,536.99,14.09,20.88
C0016,2021,2549.93,302.98,11.43,14.98
C0016,2022,6044.68,858.58,5.44,9.68
C0016,2023,2650.03,231.30,14.07,9.54
C0016,2024,3401.22,323.47,10.68,14.30
C0017,2015,4471.04,635.04,7.38,5.18
C0017,2016,5338.98,1024.34,10.84,15.63
C0017,2017,4548.72,687.82,7.22,24.06
C0017,2018,4982.64,834.27,3.48,8.09
C0017,2019,3056.03,320.95,11.35,16.47
C0017,2020,1673.75,152.04,12.71,24.24
C0017,2021,568.76,67.19,11.47,22.21
C0017,2022,2040.19,349.02,4.98,22.01
C0017,2023,5861.24,694.23,14.44,21.44
C0017,2024,7882.54,1395.28,2.33,11.18
C0018,2015,1775.55,352.12,6.32,22.81
C0018,2016,1174.70,71.43,5.38,23.83
C0018,2017,7517.97,427.11,2.63,14.92
C0018,2018,3121.07,226.09,7.27,12.09
C0018,2019,9519.84,1024.86,10.10,13.28
C0018,2020,7171.75,499.56,13.47,11.68
C0018,2021,3334.88,602.28,14.87,9.25
C0018,2022,2966.47,158.62,12.51,17.37
C0018,2023,5284.61,514.56,8.09,16.25
C0018,2024,883.53,68.65,11.41,14.25
C0019,2015,1265.00,240.01,12.97,6.92
C0019,2016,1840.99,276.93,8.05,20.94
C0019,2017,7769.76,1451.43,12.21,8.50
C0019,2018,5187.19,1015.91,8.27,7.29
C0019,2019,204.61,25.49,7.02,17.46
C0019,2020,6767.81,576.26,8.84,12.97
C0019,2021,4294.53,339.52,10.79,6.20
C0019,2022,5157.44,430.33,11.45,12.11
C0019,2023,2219.75,346.92,6.64,20.44
C0019,2024,5562.64,311.88,9.43,17.30
C0020,2015,9793.62,565.13,13.83,12.26
C0020,2016,827.10,116.80,14.69,8.84
C0020,2017,2910.78,425.87,4.95,17.64
C0020,2018,2505.68,375.32,4.51,22.75
C0020,2019,2560.64,270.87,10.80,17.93
C0020,2020,3849.19,657.80,7.39,21.26
C0020,2021,8199.29,1066.27,2.31,15.43
C0020,2022,9137.30,601.42,6.51,19.36
C0020,2023,2101.93,356.41,12.49,22.92
C0020,2024,5475.20,1056.50,12.37,20.46
C0021,2015,6405.30,377.95,8.43,23.20
C0021,2016,5266.09,572.44,8.14,13.62
C0021,2017,4397.36,541.44,9.53,23.08
C0021,2018,2000.56,143.98,4.85,17.43
C0021,2019,4933.37,888.78,8.84,22.40
C0021,2020,4072.03,377.16,2.14,5.79
C0021,2021,7976.08,1335.60,8.18,18.16
C0021,2022,7659.68,1153.92,6.37,21.96
C0021,2023,1426.59,199.30,10.77,8.48
C0021,2024,976.34,76.96,10.30,18.24
C0022,2015,9090.72,755.49,6.95,21.50
C0022,2016,5401.53,308.44,2.09,10.76
C0022,2017,8592.23,739.85,5.28,13.10
C0022,2018,675.70,68.80,10.23,16.39
C0022,2019,5312.50,929.54,2.94,15.38
C0022,2020,5440.32,571.01,3.40,5.78
C0022,2021,8620.95,1406.88,10.41,6.97
C0022,2022,1066.34,123.61,11.82,7.01
C0022,2023,2480.41,416.04,6.18,10.25
C0022,2024,4124.73,810.26,8.37,9.92
C0023,2015,8671.83,745.57,14.29,19.84
C0023,2016,9394.94,1685.00,14.29,16.45
C0023,2017,9927.97,1422.42,6.00,20.28
C0023,2018,9596.02,1656.22,12.53,6.40
C0023,2019,158.82,23.46,9.72,14.70
C0023,2020,572.31,65.01,14.68,11.48
C0023,2021,1561.31,131.48,8.21,22.00
C0023,2022,3553.73,215.02,12.07,19.16
C0023,2023,8316.19,1083.83,11.99,22.39
C0023,2024,8937.30,1774.49,8.47,5.93
C0024,2015,1949.66,313.32,12.34,19.42
C0024,2016,6234.68,617.87,5.39,15.80
C0024,2017,9181.88,1598.39,3.59,21.50
C0024,2018,4690.94,775.64,7.53,15.14
C0024,2019,1125.08,103.78,14.27,15.80
C0024,2020,4632.36,241.56,8.51,6.04
C0024,2021,3820.37,258.73,10.26,18.37
C0024,2022,5818.81,1056.67,10.11,10.46
C0024,2023,4442.72,779.63,3.72,5.39
C0024,2024,271.72,25.62,7.07,6.33
C0025,2015,9940.58,922.28,11.19,24.15
C0025,2016,5481.05,925.91,14.64,11.92
C0025,2017,4788.94,913.06,4.18,22.36
C0025,2018,9550.71,1593.73,7.34,24.19
C0025,2019,1643.02,231.40,3.24,23.87
C0025,2020,1973.45,170.51,5.15,22.63
C0025,2021,8099.35,1043.70,6.90,22.90
C0025,2022,2682.23,228.06,9.03,10.78
C0025,2023,8012.35,1371.73,5.00,8.03
C0025,2024,2788.18,301.25,4.96,17.79
C0026,2015,428.56,75.02,12.11,14.76
C0026,2016,5218.45,559.63,14.51,6.97
C0026,2017,2047.20,355.44,6.21,18.55
C0026,2018,7602.68,760.25,10.94,16.26
C0026,2019,6447.88,748.08,5.36,22.26
C0026,2020,9243.67,1315.59,14.06,17.18
C0026,2021,7851.58,475.36,10.75,16.48
C0026,2022,1889.68,363.26,12.43,13.82
C0026,2023,8021.57,1091.26,2.64,14.26
C0026,2024,6453.20,814.22,9.78,24.09
C0027,2015,6722.62,1182.57,8.86,7.77
C0027,2016,8339.40,1499.96,5.81,13.92
C0027,2017,5780.86,741.91,5.41,18.12
C0027,2018,4713.43,891.26,9.54,13.66
C0027,2019,6402.75,382.31,11.18,10.66
C0027,2020,3049.78,204.29,2.43,10.75
C0027,2021,1907.71,266.16,9.38,9.67
C0027,2022,6204.22,639.72,4.22,11.88
C0027,2023,2415.10,288.93,3.82,22.43
C0027,2024,891.16,88.41,10.10,15.10
C0028,2015,105.49,11.68,6.04,9.80
C0028,2016,6122.36,1061.60,7.73,12.69
C0028,2017,3685.27,512.33,6.68,7.12
C0028,2018,7547.88,1506.57,10.43,23.08
C0028,2019,3814.25,640.91,8.11,13.16
C0028,2020,4911.43,447.19,14.52,24.61
C0028,2021,4130.14,370.27,6.58,11.95
C0028,2022,6540.69,656.59,11.62,21.73
C0028,2023,3625.78,639.91,5.34,10.13
C0028,2024,9641.30,521.53,8.61,6.52
C0029,2015,9367.86,791.84,9.18,5.63
C0029,2016,8495.48,1577.93,6.28,17.12
C0029,2017,9210.97,1344.66,8.13,11.23
C0029,2018,4546.48,382.03,5.63,13.87
C0029,2019,5410.66,448.39,2.08,21.37
C0029,2020,7446.72,1335.89,4.80,9.96
C0029,2021,6991.84,1286.94,11.10,11.17
C0029,2022,8917.72,788.50,12.02,21.91
C0029,2023,7191.68,813.21,5.64,14.86
C0029,2024,9979.06,1748.22,7.30,21.55
C0030,2015,3550.21,588.10,2.49,12.49
C0030,2016,8346.68,1436.36,5.08,12.97
C0030,2017,7006.58,895.16,12.13,8.34
C0030,2018,6944.73,1296.81,9.88,23.33
C0030,2019,3325.77,328.89,4.68,22.94
C0030,2020,7877.46,579.00,5.35,24.68
C0030,2021,9013.72,1408.93,12.62,13.05
C0030,2022,2263.63,296.32,4.72,21.37
C0030,2023,6292.42,1121.23,6.34,13.30
C0030,2024,3982.13,247.58,10.64,14.09
C0031,2015,9896.53,1747.27,9.29,21.60
C0031,2016,4840.44,454.97,7.99,8.55
C0031,2017,2360.37,349.87,13.70,9.41
C0031,2018,3880.39,217.38,4.86,11.29
C0031,2019,6573.00,929.67,11.64,20.76
C0031,2020,853.28,134.47,4.07,12.45
C0031,2021,6075.66,639.84,10.00,12.16
C0031,2022,9319.13,767.07,13.32,24.98
C0031,2023,8518.59,1112.91,7.95,12.68
C0031,2024,769.97,134.73,11.42,9.96
C0032,2015,9934.56,978.87,12.67,17.46
C0032,2016,7017.40,616.62,3.77,21.04
C0032,2017,1706.58,156.73,11.18,6.39
C0032,2018,222.92,42.88,13.96,17.38
C0032,2019,1795.70,186.56,9.49,5.71
C0032,2020,8397.94,424.44,4.42,15.53
C0032,2021,314.23,52.56,3.65,10.14
C0032,2022,2408.16,373.00,5.38,11.13
C0032,2023,7597.33,526.38,3.35,14.34
C0032,2024,5902.49,1167.13,8.67,23.54
C0033,2015,7849.08,1108.36,2.91,19.21
C0033,2016,7486.89,936.74,4.90,23.74
C0033,2017,600.95,64.50,7.72,18.20
C0033,2018,8935.86,1651.36,8.16,5.14
C0033,2019,2347.62,203.29,9.35,10.31
C0033,2020,5578.59,518.06,11.17,23.12
C0033,2021,6478.45,442.88,2.61,17.87
C0033,2022,1769.42,289.95,3.05,24.63
C0033,2023,9764.69,1360.54,2.79,8.12
C0033,2024,4932.74,697.29,7.50,10.93
C0034,2015,670.66,55.51,2.54,12.25
C0034,2016,9378.89,1385.03,11.70,11.53
C0034,2017,5904.05,973.10,4.90,10.04
C0034,2018,7022.01,728.07,14.21,13.87
C0034,2019,5299.24,901.94,8.32,17.85
C0034,2020,8363.91,855.78,7.80,11.23
C0034,2021,428.02,70.08,12.15,6.59
C0034,2022,2756.95,151.80,11.27,19.17
C0034,2023,4749.52,630.14,9.90,14.18
C0034,2024,858.38,167.75,14.16,16.13
C0035,2015,7088.48,1397.75,7.49,14.11
C0035,2016,3997.27,368.80,12.51,22.81
C0035,2017,2799.41,325.32,6.94,16.17
C0035,2018,133.45,7.93,12.90,23.47
C0035,2019,7226.32,1307.97,5.37,15.21
C0035,2020,8354.71,1130.27,5.76,10.85
C0035,2021,4010.90,432.24,10.81,12.11
C0035,2022,5685.76,380.47,4.77,15.44
C0035,2023,2354.10,452.02,4.98,15.60
C0035,2024,6259.76,810.84,5.97,18.75
C0036,2015,220.16,20.35,10.83,9.49
C0036,2016,4937.57,506.26,13.56,18.18
C0036,2017,6477.63,586.90,10.77,20.57
C0036,2018,9190.10,1289.11,12.76,18.53
C0036,2019,3875.22,734.33,9.07,14.64
C0036,2020,7675.38,1370.09,2.90,24.83
C0036,2021,6017.10,716.38,3.31,13.10
C0036,2022,9277.42,1614.04,9.21,7.13
C0036,2023,4043.94,458.85,6.26,21.43
C0036,2024,3259.04,286.29,4.87,9.24
C0037,2015,8882.71,1754.44,8.06,19.27
C0037,2016,587.52,56.16,10.66,8.58
C0037,2017,1450.22,142.93,7.00,5.34
C0037,2018,915.80,181.74,12.43,8.20
C0037,2019,8446.79,592.03,11.60,12.54
C0037,2020,205.01,33.64,11.55,7.13
C0037,2021,8630.41,1642.99,14.81,8.95
C0037,2022,4567.55,579.03,5.84,20.29
C0037,2023,139.85,7.05,10.38,20.40
C0037,2024,4076.29,433.14,13.12,21.35
C0038,2015,1949.33,130.09,9.53,21.82
C0038,2016,6281.56,706.22,12.26,13.41
C0038,2017,6825.65,1150.15,7.39,22.35
C0038,2018,4926.52,570.52,9.68,15.52
C0038,2019,501.14,57.53,2.72,14.41
C0038,2020,6595.68,880.64,14.81,19.37
C0038,2021,8436.18,1157.90,12.40,9.28
C0038,2022,7231.21,1290.37,13.29,20.79
C0038,2023,8316.58,800.50,11.03,13.59
C0038,2024,2085.04,361.24,4.42,7.55
C0039,2015,8899.99,1200.52,2.40,7.39
C0039,2016,3289.72,312.78,13.24,8.30
C0039,2017,232.71,21.94,7.15,22.81
C0039,2018,8449.58,880.20,5.43,24.82
C0039,2019,9424.03,1351.44,9.30,12.14
C0039,2020,6590.03,557.66,7.47,10.84
C0039,2021,2391.22,449.67,10.47,9.38
C0039,2022,2592.27,353.16,8.29,21.48
C0039,2023,4719.27,887.23,11.06,9.18
C0039,2024,8988.53,511.99,13.09,23.48
C0040,2015,1581.02,160.30,4.54,18.35
C0040,2016,8277.14,442.17,6.28,22.94
C0040,2017,2983.90,271.05,7.68,16.08
C0040,2018,8105.00,1453.23,14.51,18.81
C0040,2019,9210.68,511.11,6.75,17.39
C0040,2020,4332.19,500.03,6.95,21.62
C0040,2021,3714.00,251.20,10.50,21.72
C0040,2022,8041.99,904.93,7.45,16.80
C0040,2023,5341.88,939.25,14.37,17.65
C0040,2024,6876.05,986.44,13.63,23.44
C0041,2015,6266.01,1005.78,8.67,23.60
C0041,2016,1613.60,165.18,10.38,18.28
C0041,2017,8463.42,1622.10,2.75,5.16
C0041,2018,2038.17,318.75,11.04,7.09
C0041,2019,9329.59,1056.76,11.19,22.16
C0041,2020,2580.66,294.12,6.67,6.69
C0041,2021,7365.42,1383.25,4.86,9.27
C0041,2022,2918.09,398.20,13.90,9.61
C0041,2023,3246.08,506.25,7.55,17.00
C0041,2024,3169.02,356.69,10.50,16.53
C0042,2015,7504.13,627.00,2.43,10.79
C0042,2016,5612.47,889.77,7.38,9.15
C0042,2017,8841.23,1248.15,12.62,20.29
C0042,2018,3142.99,393.51,7.04,23.71
C0042,2019,6950.73,998.15,9.84,6.06
C0042,2020,7554.19,613.72,4.73,7.66
C0042,2021,1599.67,270.49,7.41,17.84
C0042,2022,4065.83,781.55,14.06,21.09
C0042,2023,4879.89,896.27,9.36,20.82
C0042,2024,3621.31,355.67,13.73,19.39
C0043,2015,3288.91,364.74,13.73,22.75
C0043,2016,6895.56,1180.94,14.27,9.35
C0043,2017,2237.08,311.55,13.64,7.15
C0043,2018,7122.97,941.57,2.04,17.31
C0043,2019,9356.94,1768.43,14.14,21.45
C0043,2020,5695.46,742.71,3.79,16.64
C0043,2021,6153.20,782.94,2.52,24.26
C0043,2022,782.43,44.05,2.72,20.91
C0043,2023,8658.32,523.07,6.54,19.02
C0043,2024,2925.93,149.55,10.07,6.21
C0044,2015,6189.01,1157.26,7.23,7.15
C0044,2016,9793.21,1089.57,2.33,20.70
C0044,2017,5995.48,721.16,8.19,8.96
C0044,2018,7274.62,1286.21,7.75,5.58
C0044,2019,4508.66,637.47,11.84,23.22
C0044,2020,697.62,98.66,5.63,22.82
C0044,2021,7996.23,755.49,4.83,9.37
C0044,2022,446.49,78.17,5.33,20.60
C0044,2023,7036.51,526.86,5.95,5.96
C0044,2024,326.92,18.95,9.79,10.70
C0045,2015,8636.82,680.07,8.13,17.47
C0045,2016,1660.60,149.72,6.38,20.26
C0045,2017,5191.29,479.40,6.87,5.21
C0045,2018,6011.79,905.24,6.82,11.52
C0045,2019,4629.70,382.75,14.64,9.29
C0045,2020,3473.56,526.24,5.03,24.98
C0045,2021,4731.36,301.24,12.63,18.42
C0045,2022,3183.02,229.43,11.21,13.11
C0045,2023,4437.41,560.55,2.07,6.51
C0045,2024,3653.24,687.85,14.91,16.97
C0046,2015,5705.43,1020.90,11.83,17.83
C0046,2016,2455.45,479.58,10.87,21.33
C0046,2017,9887.70,1459.15,7.27,10.77
C0046,2018,5058.61,765.73,9.22,24.63
C0046,2019,2022.20,290.70,5.29,13.79
C0046,2020,4822.96,691.72,2.46,10.92
C0046,2021,8677.51,625.37,12.87,11.97
C0046,2022,315.89,41.56,13.65,15.39
C0046,2023,6827.59,736.77,4.11,23.73
C0046,2024,5524.88,642.99,12.23,19.70
C0047,2015,1778.62,228.62,11.63,16.54
C0047,2016,8193.02,567.44,4.32,8.26
C0047,2017,3751.96,389.92,7.48,7.99
C0047,2018,3008.64,179.07,7.50,15.04
C0047,2019,8298.44,1634.38,11.88,19.57
C0047,2020,6421.40,435.24,12.89,20.02
C0047,2021,8992.76,798.37,3.23,9.52
C0047,2022,6335.85,1163.86,9.32,7.00
C0047,2023,7434.09,909.98,11.90,12.69
C0047,2024,8380.81,589.55,12.22,23.36
C0048,2015,641.92,69.09,3.92,15.91
C0048,2016,7782.88,524.41,8.83,11.40
C0048,2017,6175.69,494.26,13.15,11.47
C0048,2018,788.13,45.56,6.14,7.64
C0048,2019,5134.92,594.29,7.53,14.46
C0048,2020,916.33,156.69,12.46,20.83
C0048,2021,7385.88,1018.48,3.16,24.37
C0048,2022,5510.37,776.70,13.17,15.03
C0048,2023,9540.38,764.07,6.05,8.34
C0048,2024,1913.04,194.33,2.02,18.66
C0049,2015,6099.73,1078.35,5.04,20.14
C0049,2016,2194.66,138.66,3.16,6.43
C0049,2017,6179.24,1104.17,3.20,22.00
C0049,2018,7254.23,889.03,11.01,21.59
C0049,2019,7250.81,1273.04,4.78,14.45
C0049,2020,8169.23,798.14,14.15,16.21
C0049,2021,8550.15,862.08,8.71,19.27
C0049,2022,864.99,140.77,7.98,18.53
C0049,2023,3498.34,586.85,7.65,5.33
C0049,2024,6902.51,582.89,11.00,7.45
C0050,2015,5036.00,986.71,7.88,8.25
C0050,2016,1987.69,124.58,3.67,20.11
C0050,2017,5571.82,335.84,13.44,13.80
C0050,2018,4133.61,575.92,7.57,15.91
C0050,2019,3961.38,627.53,2.96,20.45
C0050,2020,8116.56,1575.69,8.88,11.82
C0050,2021,4135.22,457.94,10.42,19.98
C0050,2022,361.90,19.47,5.58,13.85
C0050,2023,674.83,94.77,12.40,12.54
C0050,2024,8576.82,801.54,10.71,11.66
C0051,2015,9609.95,1104.59,10.45,24.30
C0051,2016,6915.25,852.45,7.47,20.44
C0051,2017,3707.25,221.24,14.50,5.40
C0051,2018,9392.14,1154.27,5.56,24.15
C0051,2019,6661.75,759.09,9.51,20.51
C0051,2020,8458.90,1327.05,6.02,7.98
C0051,2021,7681.94,1128.09,11.68,6.53
C0051,2022,3853.48,299.73,2.62,11.16
C0051,2023,4839.15,391.59,2.60,17.48
C0051,2024,1942.71,170.28,12.54,17.33
C0052,2015,2990.94,229.83,7.65,10.52
C0052,2016,7803.44,1159.45,6.44,13.91
C0052,2017,8950.39,1782.60,9.90,9.24
C0052,2018,7272.16,1074.94,11.12,6.01
C0052,2019,4705.22,663.45,4.62,15.34
C0052,2020,956.44,106.63,4.41,11.94
C0052,2021,663.78,64.31,14.46,15.86
C0052,2022,3805.82,710.40,9.67,23.93
C0052,2023,4691.84,916.55,7.07,7.87
C0052,2024,6130.29,763.32,12.42,5.04
C0053,2015,164.25,15.36,8.83,6.54
C0053,2016,9898.26,1638.34,5.14,14.25
C0053,2017,3702.99,258.72,4.69,19.14
C0053,2018,8496.14,1400.49,7.16,16.62
C0053,2019,5396.17,932.69,13.18,14.90
C0053,2020,1391.35,95.64,2.80,12.08
C0053,2021,7995.90,1571.43,4.84,11.20
C0053,2022,7127.29,1409.97,13.61,12.53
C0053,2023,5321.62,1013.81,3.58,17.23
C0053,2024,5194.08,646.17,10.19,8.36
C0054,2015,966.05,83.96,4.78,20.43
C0054,2016,6592.90,905.21,9.88,16.51
C0054,2017,9121.33,1030.62,6.98,10.38
C0054,2018,1023.12,82.76,3.32,15.02
C0054,2019,2708.76,307.58,9.57,24.26
C0054,2020,9032.85,1351.16,10.88,5.41
C0054,2021,2915.00,176.76,10.84,8.99
C0054,2022,6574.04,657.49,10.28,13.97
C0054,2023,5394.70,284.13,8.50,17.77
C0054,2024,6003.64,975.14,8.75,9.24
C0055,2015,4216.31,616.02,10.26,23.63
C0055,2016,3069.92,182.36,10.97,17.85
C0055,2017,580.48,113.03,10.51,22.55
C0055,2018,7468.38,398.76,9.63,11.59
C0055,2019,7486.33,1036.81,4.03,21.58
C0055,2020,6740.18,1121.94,4.74,12.56
C0055,2021,6471.97,1088.49,5.38,10.06
C0055,2022,2512.80,138.56,13.96,23.23
C0055,2023,321.21,59.73,11.87,6.84
C0055,2024,8106.28,1522.10,9.19,23.86
C0056,2015,4962.27,665.98,5.28,14.17
C0056,2016,3137.70,383.78,3.44,24.85
C0056,2017,1109.13,62.92,13.68,15.79
C0056,2018,720.94,96.82,13.60,20.15
C0056,2019,3553.78,395.92,3.44,5.14
C0056,2020,8066.90,1338.47,12.36,14.93
C0056,2021,9195.37,1016.85,7.81,19.75
C0056,2022,8977.84,1369.45,6.21,20.66
C0056,2023,9208.01,600.47,11.61,8.16
C0056,2024,9086.48,635.53,9.99,13.38
C0057,2015,5319.53,377.46,12.14,13.38
C0057,2016,2272.21,129.13,2.97,7.07
C0057,2017,8000.66,1049.68,6.14,13.86
C0057,2018,2215.76,374.67,6.15,21.14
C0057,2019,2745.35,388.64,6.29,11.00
C0057,2020,2409.22,328.24,8.53,13.65
C0057,2021,5198.33,790.63,5.68,24.22
C0057,2022,3286.09,331.72,7.78,5.63
C0057,2023,1626.14,169.60,6.78,16.83
C0057,2024,4586.42,445.53,11.56,19.87
C0058,2015,8751.68,1372.41,9.85,20.22
C0058,2016,5748.47,426.80,10.50,19.32
C0058,2017,8795.52,456.96,4.74,19.53
C0058,2018,2039.13,284.32,6.23,6.18
C0058,2019,1753.04,335.46,2.28,15.68
C0058,2020,5798.21,819.93,3.41,20.66
C0058,2021,4686.96,784.78,5.45,6.88
C0058,2022,6635.71,1001.45,2.85,5.24
