Company_ID,Year,Stock_Price_Start,Stock_Price_End,Annual_Return,Market_Cap
C0008,2023,91.75,78.46,-14.48,240.98
C0008,2024,62.29,85.91,37.91,464.52
C0009,2015,133.78,133.80,0.02,376.36
C0009,2016,47.07,50.08,6.39,27.32
C0009,2017,143.79,183.35,27.51,5.07
C0009,2018,156.90,188.11,19.89,393.92
C0009,2019,33.62,44.91,33.58,276.70
C0009,2020,133.65,139.05,4.03,360.45
C0009,2021,192.67,197.29,2.40,79.25
C0009,2022,46.64,38.20,-18.10,436.15
C0009,2023,182.77,196.96,7.76,386.89
C0009,2024,125.15,154.49,23.44,445.53
C0010,2015,122.28,119.92,-1.93,171.21
C0010,2016,19.87,21.41,7.76,138.58
C0010,2017,152.18,141.77,-6.84,76.71
C0010,2018,100.87,127.47,26.37,465.11
C0010,2019,147.02,122.96,-16.37,89.24
C0010,2020,163.74,200.30,22.32,60.54
C0010,2021,109.52,112.52,2.74,97.15
C0010,2022,60.09,49.57,-17.50,385.92
C0010,2023,36.90,48.41,31.21,444.88
C0010,2024,40.50,44.25,9.26,405.65
C0011,2015,174.72,202.60,15.96,282.06
C0011,2016,33.48,41.49,23.92,496.95
C0011,2017,83.09,99.13,19.30,35.36
C0011,2018,73.51,91.05,23.85,433.73
C0011,2019,174.44,219.33,25.74,214.43
C0011,2020,100.76,116.23,15.35,228.11
C0011,2021,199.32,203.19,1.94,64.67
C0011,2022,150.04,141.92,-5.41,17.68
C0011,2023,171.68,230.34,34.17,159.00
C0011,2024,28.75,39.73,38.20,88.25
C0012,2015,58.09,58.94,1.46,242.19
C0012,2016,35.73,31.00,-13.26,74.52
C0012,2017,98.09,91.57,-6.65,69.83
C0012,2018,146.47,176.12,20.24,438.61
C0012,2019,42.12,38.07,-9.62,460.73
C0012,2020,34.73,44.04,26.81,482.14
C0012,2021,126.78,171.63,35.38,340.57
C0012,2022,53.76,74.09,37.82,385.74
C0012,2023,101.07,81.42,-19.44,418.06
C0012,2024,19.71,27.10,37.49,329.80
C0013,2015,139.32,173.33,24.41,165.79
C0013,2016,112.85,95.97,-14.96,79.04
C0013,2017,133.01,139.55,4.91,119.40
C0013,2018,62.33,76.04,22.00,420.37
C0013,2019,62.93,86.47,37.40,348.35
C0013,2020,162.26,145.79,-10.15,228.44
C0013,2021,146.53,128.45,-12.34,15.67
C0013,2022,120.15,130.17,8.34,133.84
C0013,2023,129.35,178.61,38.09,364.72
C0013,2024,27.87,38.54,38.28,256.68
C0014,2015,172.67,161.75,-6.33,218.33
C0014,2016,156.28,154.97,-0.84,157.53
C0014,2017,122.19,164.33,34.48,303.86
C0014,2018,184.53,228.99,24.09,483.23
C0014,2019,42.04,58.16,38.34,450.66
C0014,2020,140.46,187.65,33.59,16.22
C0014,2021,192.97,179.28,-7.09,241.00
C0014,2022,68.90,86.53,25.58,165.41
C0014,2023,12.91,10.70,-17.09,255.79
C0014,2024,149.62,193.12,29.07,303.50
C0015,2015,11.33,13.15,16.09,100.81
C0015,2016,175.78,241.46,37.37,391.00
C0015,2017,20.70,28.48,37.60,238.06
C0015,2018,134.03,111.31,-16.95,496.01
C0015,2019,81.66,73.20,-10.37,13.54
C0015,2020,48.63,53.04,9.05,95.67
C0015,2021,180.67,239.87,32.77,345.13
C0015,2022,151.79,195.60,28.87,347.89
C0015,2023,74.68,102.96,37.86,291.51
C0015,2024,63.99,74.92,17.09,486.01
C0016,2015,149.84,142.94,-4.61,208.24
C0016,2016,168.95,137.70,-18.49,209.10
C0016,2017,146.01,136.34,-6.62,455.33
C0016,2018,131.60,158.60,20.52,269.68
C0016,2019,53.31,72.27,35.58,177.51
C0016,2020,172.03,170.75,-0.75,359.75
C0016,2021,152.44,202.04,32.54,310.22
C0016,2022,108.28,112.28,3.69,153.90
C0016,2023,107.20,105.59,-1.50,149.67
C0016,2024,118.14,130.58,10.53,198.41
C0017,2015,167.37,178.31,6.54,36.74
C0017,2016,151.03,203.63,34.83,471.37
C0017,2017,172.69,186.67,8.10,92.33
C0017,2018,106.38,102.81,-3.36,97.72
C0017,2019,128.68,168.00,30.55,323.87
C0017,2020,172.37,241.19,39.92,362.40
C0017,2021,54.14,64.37,18.89,368.68
C0017,2022,94.36,89.67,-4.97,188.16
C0017,2023,127.92,120.67,-5.67,436.79
C0017,2024,183.88,153.47,-16.54,272.46
C0018,2015,13.01,11.01,-15.36,219.86
C0018,2016,50.39,67.97,34.90,405.38
C0018,2017,54.55,46.79,-14.21,122.54
C0018,2018,72.06,78.59,9.06,430.23
C0018,2019,63.54,77.45,21.89,269.88
C0018,2020,122.13,160.01,31.02,450.13
C0018,2021,178.27,160.93,-9.72,101.60
C0018,2022,131.03,139.24,6.27,468.10
C0018,2023,55.89,53.15,-4.91,344.25
C0018,2024,174.11,166.02,-4.65,309.55
C0019,2015,130.09,127.79,-1.77,211.61
C0019,2016,51.60,59.46,15.23,478.20
C0019,2017,78.72,63.76,-19.01,222.52
C0019,2018,160.09,167.34,4.53,249.77
C0019,2019,150.40,137.18,-8.79,390.97
C0019,2020,119.55,165.01,38.03,143.14
C0019,2021,37.51,43.12,14.96,146.46
C0019,2022,162.62,214.80,32.09,387.87
C0019,2023,68.43,62.78,-8.26,65.16
C0019,2024,156.60,201.39,28.60,411.66
C0020,2015,133.04,139.54,4.89,312.96
C0020,2016,60.19,54.57,-9.34,270.00
C0020,2017,50.35,63.28,25.67,115.33
C0020,2018,34.87,43.84,25.72,393.40
C0020,2019,55.97,78.22,39.75,402.67
C0020,2020,39.99,50.73,26.86,241.99
C0020,2021,127.24,112.88,-11.28,195.20
C0020,2022,123.77,122.97,-0.65,123.83
C0020,2023,121.37,129.99,7.10,377.36
C0020,2024,131.96,115.60,-12.40,320.09
C0021,2015,164.81,209.77,27.28,104.11
C0021,2016,183.58,204.87,11.60,397.44
C0021,2017,53.77,73.49,36.67,441.22
C0021,2018,121.68,140.36,15.36,30.56
C0021,2019,24.88,27.71,11.37,386.44
C0021,2020,32.83,27.67,-15.71,426.55
C0021,2021,134.32,119.50,-11.04,495.76
C0021,2022,102.45,134.18,30.97,119.56
C0021,2023,154.08,214.85,39.44,186.13
C0021,2024,90.88,95.34,4.91,483.13
C0022,2015,34.24,44.04,28.61,47.91
C0022,2016,175.69,206.71,17.66,262.33
C0022,2017,25.75,35.42,37.54,253.87
C0022,2018,45.90,43.28,-5.71,303.67
C0022,2019,62.63,70.57,12.69,166.07
C0022,2020,199.10,208.12,4.53,463.03
C0022,2021,89.20,100.36,12.50,135.76
C0022,2022,105.32,101.25,-3.87,325.20
C0022,2023,156.24,171.66,9.86,248.47
C0022,2024,130.92,153.81,17.49,134.07
C0023,2015,169.87,144.17,-15.13,95.24
C0023,2016,102.42,127.60,24.58,478.32
C0023,2017,194.71,238.31,22.39,281.08
C0023,2018,161.39,214.38,32.83,302.49
C0023,2019,86.26,91.05,5.55,391.66
C0023,2020,82.44,69.00,-16.30,41.53
C0023,2021,186.60,200.95,7.69,357.17
C0023,2022,140.04,123.59,-11.74,83.40
C0023,2023,128.07,152.21,18.85,370.50
C0023,2024,153.99,127.54,-17.17,71.52
C0024,2015,116.56,119.40,2.44,416.41
C0024,2016,40.24,34.19,-15.03,340.83
C0024,2017,70.65,56.66,-19.80,193.56
C0024,2018,116.01,159.67,37.63,180.06
C0024,2019,13.45,18.80,39.77,75.32
C0024,2020,93.10,105.51,13.33,452.12
C0024,2021,153.60,144.90,-5.66,60.15
C0024,2022,41.20,55.49,34.67,236.57
C0024,2023,22.27,30.14,35.38,119.02
C0024,2024,168.85,221.64,31.27,498.17
C0025,2015,127.28,143.40,12.66,293.34
C0025,2016,43.55,36.79,-15.52,75.64
C0025,2017,163.20,139.22,-14.69,334.11
C0025,2018,135.04,180.69,33.80,495.81
C0025,2019,73.48,97.40,32.55,302.92
C0025,2020,81.48,86.42,6.06,229.23
C0025,2021,39.62,39.50,-0.31,147.34
C0025,2022,168.70,200.16,18.65,46.97
C0025,2023,106.71,137.04,28.42,114.89
C0025,2024,115.83,143.52,23.90,277.26
C0026,2015,177.86,207.99,16.94,377.14
C0026,2016,13.01,12.21,-6.11,439.09
C0026,2017,22.72,21.75,-4.25,397.06
C0026,2018,40.70,50.24,23.44,63.61
C0026,2019,15.71,20.13,28.16,386.96
C0026,2020,135.05,117.45,-13.03,291.22
C0026,2021,130.44,119.01,-8.76,235.08
C0026,2022,50.05,60.48,20.83,286.81
C0026,2023,38.39,39.67,3.34,5.03
C0026,2024,37.68,42.88,13.80,34.80
C0027,2015,191.12,223.39,16.89,263.40
C0027,2016,141.77,179.44,26.57,87.64
C0027,2017,121.23,155.59,28.34,273.22
C0027,2018,71.27,69.00,-3.19,177.75
C0027,2019,92.28,103.79,12.48,453.80
C0027,2020,26.99,23.59,-12.59,474.89
C0027,2021,199.65,260.58,30.52,489.91
C0027,2022,153.47,200.62,30.73,449.57
C0027,2023,128.08,125.48,-2.03,492.96
C0027,2024,121.68,109.07,-10.36,353.37
C0028,2015,105.82,89.11,-15.79,480.31
C0028,2016,58.91,67.45,14.50,321.25
C0028,2017,53.01,45.32,-14.51,404.80
C0028,2018,114.41,138.25,20.84,66.82
C0028,2019,23.34,28.17,20.69,341.62
C0028,2020,24.15,28.22,16.84,465.62
C0028,2021,116.55,154.54,32.59,270.48
C0028,2022,184.76,189.75,2.70,94.22
C0028,2023,183.71,246.42,34.14,263.92
C0028,2024,12.06,9.91,-17.78,353.76
C0029,2015,30.40,26.38,-13.23,385.12
C0029,2016,120.78,126.50,4.73,262.33
C0029,2017,171.21,197.99,15.64,109.47
C0029,2018,191.35,156.79,-18.06,463.42
C0029,2019,173.51,197.88,14.05,387.04
C0029,2020,138.75,136.59,-1.56,136.07
C0029,2021,48.10,64.08,33.23,406.09
C0029,2022,23.80,26.65,12.00,174.58
C0029,2023,19.03,21.93,15.27,156.90
C0029,2024,126.29,172.69,36.74,431.68
C0030,2015,16.88,21.24,25.85,436.74
C0030,2016,150.46,159.93,6.30,199.84
C0030,2017,145.37,157.89,8.61,5.45
C0030,2018,25.13,29.87,18.88,94.10
C0030,2019,182.26,167.70,-7.99,454.74
C0030,2020,109.17,93.14,-14.68,449.48
C0030,2021,181.84,179.43,-1.33,227.22
C0030,2022,181.31,229.72,26.70,152.75
C0030,2023,47.44,45.27,-4.56,152.07
C0030,2024,82.31,72.31,-12.15,448.70
C0031,2015,35.58,33.14,-6.86,163.04
C0031,2016,157.25,189.86,20.74,256.28
C0031,2017,105.78,123.59,16.84,365.77
C0031,2018,186.47,226.19,21.30,105.53
C0031,2019,49.56,49.22,-0.68,127.67
C0031,2020,140.79,188.73,34.05,179.67
C0031,2021,197.95,212.02,7.11,327.46
C0031,2022,136.42,151.19,10.82,408.93
C0031,2023,23.07,31.59,36.93,273.81
C0031,2024,121.80,169.01,38.76,67.33
C0032,2015,44.17,52.87,19.69,223.68
C0032,2016,15.80,21.59,36.69,64.72
C0032,2017,73.64,82.84,12.49,45.06
C0032,2018,60.56,59.61,-1.56,295.22
C0032,2019,159.87,158.12,-1.09,478.15
C0032,2020,81.00,91.96,13.54,418.97
C0032,2021,149.26,173.60,16.30,387.46
C0032,2022,13.09,13.92,6.38,363.80
C0032,2023,12.81,17.05,33.03,448.67
C0032,2024,15.57,16.44,5.60,376.66
C0033,2015,51.68,49.82,-3.59,313.81
C0033,2016,81.06,65.23,-19.52,182.98
C0033,2017,125.49,173.47,38.23,51.37
C0033,2018,197.32,255.45,29.46,231.06
C0033,2019,77.34,90.43,16.93,462.47
C0033,2020,20.58,26.71,29.83,291.97
C0033,2021,47.03,60.49,28.62,93.07
C0033,2022,180.59,245.44,35.91,324.86
C0033,2023,142.88,147.40,3.16,233.27
C0033,2024,160.14,181.42,13.29,465.76
C0034,2015,33.59,28.86,-14.08,81.31
C0034,2016,35.65,49.16,37.92,356.29
C0034,2017,31.33,43.58,39.11,341.12
C0034,2018,172.86,220.13,27.35,491.79
C0034,2019,49.89,53.51,7.25,282.89
C0034,2020,132.20,145.15,9.79,435.92
C0034,2021,108.07,114.69,6.12,13.33
C0034,2022,113.43,110.71,-2.40,62.32
C0034,2023,47.13,52.63,11.67,173.62
C0034,2024,130.70,108.75,-16.79,310.04
C0035,2015,18.19,25.38,39.51,225.09
C0035,2016,198.76,209.58,5.44,102.15
C0035,2017,15.08,20.46,35.64,295.01
C0035,2018,19.53,24.11,23.46,283.78
C0035,2019,71.68,69.82,-2.60,262.70
C0035,2020,168.01,156.79,-6.68,46.19
C0035,2021,58.87,82.26,39.74,463.59
C0035,2022,99.67,125.91,26.33,296.54
C0035,2023,13.42,12.74,-5.02,132.73
C0035,2024,24.99,21.00,-15.95,344.02
C0036,2015,125.51,152.89,21.81,159.64
C0036,2016,46.93,46.07,-1.82,253.42
C0036,2017,141.91,132.37,-6.72,171.22
C0036,2018,159.22,197.59,24.10,440.32
C0036,2019,171.56,207.17,20.76,497.00
C0036,2020,35.42,38.57,8.88,81.43
C0036,2021,96.55,131.84,36.56,12.77
C0036,2022,189.95,229.41,20.78,110.44
C0036,2023,156.70,209.35,33.61,295.39
C0036,2024,32.22,29.46,-8.57,87.80
C0037,2015,105.48,103.15,-2.20,405.93
C0037,2016,185.25,159.82,-13.73,204.93
C0037,2017,93.61,91.99,-1.73,305.66
C0037,2018,169.11,233.89,38.31,228.35
C0037,2019,104.21,143.57,37.77,451.76
C0037,2020,30.29,38.06,25.62,18.53
C0037,2021,38.09,42.38,11.26,364.92
C0037,2022,18.87,23.93,26.85,326.43
C0037,2023,47.11,53.33,13.21,325.11
C0037,2024,179.79,144.21,-19.79,207.58
C0038,2015,133.54,147.02,10.09,8.82
C0038,2016,150.38,174.35,15.94,344.93
C0038,2017,128.12,122.92,-4.06,414.91
C0038,2018,83.44,76.93,-7.80,43.53
C0038,2019,51.20,49.37,-3.57,221.37
C0038,2020,185.87,218.24,17.42,82.13
C0038,2021,107.82,95.70,-11.24,305.86
C0038,2022,101.41,124.96,23.22,393.02
C0038,2023,199.26,209.94,5.36,333.69
C0038,2024,82.95,83.94,1.20,159.71
C0039,2015,172.28,221.27,28.43,70.73
C0039,2016,173.85,191.86,10.36,397.34
C0039,2017,54.21,55.67,2.70,162.63
C0039,2018,28.02,37.18,32.69,12.05
C0039,2019,195.37,199.46,2.10,286.14
C0039,2020,90.92,119.60,31.54,124.09
C0039,2021,10.42,11.49,10.25,420.76
C0039,2022,104.81,96.93,-7.52,72.48
C0039,2023,127.67,149.08,16.77,217.97
C0039,2024,157.46,152.92,-2.88,127.31
C0040,2015,189.16,168.03,-11.17,345.11
C0040,2016,183.88,156.65,-14.81,274.72
C0040,2017,188.63,178.25,-5.50,395.70
C0040,2018,16.10,20.00,24.19,229.85
C0040,2019,145.24,189.21,30.28,3.40
C0040,2020,52.91,69.69,31.70,108.38
C0040,2021,45.64,43.90,-3.79,499.58
C0040,2022,162.06,193.92,19.66,203.27
C0040,2023,89.25,83.74,-6.18,310.50
C0040,2024,184.15,216.13,17.37,452.56
C0041,2015,18.06,24.07,33.23,11.24
C0041,2016,162.41,133.92,-17.55,330.14
C0041,2017,36.00,50.08,39.11,144.90
C0041,2018,43.55,56.45,29.63,140.34
C0041,2019,100.70,126.58,25.70,113.20
C0041,2020,85.16,103.46,21.48,411.54
C0041,2021,102.37,129.21,26.22,187.10
C0041,2022,188.61,263.44,39.68,34.49
C0041,2023,134.90,170.26,26.21,49.33
C0041,2024,65.16,65.87,1.10,75.16
C0042,2015,42.85,50.07,16.84,449.56
C0042,2016,89.81,90.00,0.22,214.29
C0042,2017,95.81,132.42,38.20,458.11
C0042,2018,124.25,166.50,34.01,408.92
C0042,2019,60.54,69.05,14.06,419.10
C0042,2020,155.83,197.71,26.88,144.13
C0042,2021,28.71,38.63,34.58,136.39
C0042,2022,116.49,110.21,-5.38,280.47
C0042,2023,128.47,147.44,14.77,209.54
C0042,2024,49.30,53.69,8.90,255.02
C0043,2015,166.94,210.84,26.30,27.55
C0043,2016,126.93,130.42,2.74,485.82
C0043,2017,132.69,162.59,22.54,30.03
C0043,2018,104.57,108.94,4.18,90.24
C0043,2019,182.82,158.44,-13.34,339.42
C0043,2020,141.85,122.59,-13.57,78.60
C0043,2021,82.55,71.94,-12.86,54.33
C0043,2022,55.34,45.35,-18.05,77.66
C0043,2023,23.50,26.32,11.98,31.90
C0043,2024,41.42,49.83,20.31,126.41
C0044,2015,198.61,173.99,-12.40,136.29
C0044,2016,87.29,101.87,16.71,249.81
C0044,2017,180.75,209.43,15.86,219.92
C0044,2018,42.41,37.67,-11.17,237.38
C0044,2019,90.82,94.67,4.24,308.40
C0044,2020,192.50,241.22,25.31,116.25
C0044,2021,27.32,22.13,-18.99,68.22
C0044,2022,122.86,109.12,-11.18,439.56
C0044,2023,184.64,258.04,39.75,317.34
C0044,2024,190.44,236.17,24.01,31.27
C0045,2015,170.74,184.14,7.85,480.56
C0045,2016,172.63,203.33,17.79,346.84
C0045,2017,133.91,175.12,30.77,76.70
C0045,2018,51.88,67.72,30.54,484.60
C0045,2019,148.83,148.06,-0.52,183.34
C0045,2020,195.89,214.46,9.48,492.27
C0045,2021,109.93,130.03,18.28,52.53
C0045,2022,59.53,50.19,-15.69,80.82
C0045,2023,118.96,162.67,36.75,329.05
C0045,2024,141.22,149.64,5.96,12.05
C0046,2015,49.57,50.69,2.25,10.33
C0046,2016,146.65,197.13,34.43,396.20
C0046,2017,121.61,105.92,-12.90,84.72
C0046,2018,126.35,104.05,-17.64,459.48
C0046,2019,68.14,82.51,21.10,213.52
C0046,2020,39.50,40.73,3.10,436.95
C0046,2021,128.46,161.69,25.87,209.46
C0046,2022,121.38,102.10,-15.89,265.58
C0046,2023,74.22,76.47,3.03,158.94
C0046,2024,66.22,62.33,-5.88,329.38
C0047,2015,75.98,94.50,24.38,159.78
C0047,2016,103.08,96.51,-6.37,112.36
C0047,2017,195.22,209.81,7.48,41.44
C0047,2018,155.08,200.26,29.13,29.78
C0047,2019,171.83,231.84,34.92,153.68
C0047,2020,106.07,130.85,23.36,368.50
C0047,2021,109.96,116.29,5.75,103.60
C0047,2022,48.82,55.81,14.32,150.31
C0047,2023,147.00,178.43,21.38,452.68
C0047,2024,90.10,119.38,32.50,319.94
C0048,2015,151.06,201.39,33.31,459.94
C0048,2016,87.72,119.18,35.86,455.70
C0048,2017,30.62,39.39,28.64,32.64
C0048,2018,42.88,38.08,-11.19,477.55
C0048,2019,164.20,205.02,24.86,26.54
C0048,2020,59.14,76.21,28.88,462.88
C0048,2021,60.23,79.90,32.67,273.82
C0048,2022,186.58,252.80,35.49,267.06
C0048,2023,134.95,149.19,10.55,356.92
C0048,2024,31.72,37.84,19.31,439.73
C0049,2015,37.28,30.04,-19.43,308.89
C0049,2016,61.75,70.62,14.37,213.27
C0049,2017,122.86,133.17,8.39,56.83
C0049,2018,153.04,210.79,37.74,394.82
C0049,2019,62.15,83.35,34.10,65.02
C0049,2020,175.42,224.29,27.86,363.46
C0049,2021,30.74,25.65,-16.58,264.43
C0049,2022,49.44,51.48,4.12,193.53
C0049,2023,194.39,236.69,21.76,306.88
C0049,2024,35.60,29.11,-18.22,386.41
C0050,2015,178.74,168.28,-5.85,470.63
C0050,2016,143.75,191.54,33.25,133.08
C0050,2017,23.89,20.97,-12.21,473.62
C0050,2018,101.90,84.66,-16.92,480.51
C0050,2019,108.61,124.72,14.84,407.00
C0050,2020,187.11,255.94,36.79,440.84
C0050,2021,90.01,117.08,30.08,346.52
C0050,2022,94.89,131.40,38.49,20.51
C0050,2023,31.37,39.28,25.21,287.96
C0050,2024,131.44,139.65,6.24,373.86
C0051,2015,50.07,68.49,36.80,470.91
C0051,2016,24.73,26.12,5.60,285.66
C0051,2017,199.41,201.42,1.01,397.31
C0051,2018,61.23,65.45,6.89,352.81
C0051,2019,36.80,47.41,28.84,141.12
C0051,2020,142.90,193.01,35.06,78.21
C0051,2021,166.12,168.55,1.46,375.70
C0051,2022,22.17,23.89,7.73,117.65
C0051,2023,30.02,40.20,33.90,123.10
C0051,2024,27.13,22.47,-17.18,322.33
C0052,2015,18.92,24.04,27.03,394.75
C0052,2016,135.30,145.11,7.25,291.58
C0052,2017,121.78,124.93,2.59,442.61
C0052,2018,135.93,145.20,6.82,106.51
C0052,2019,106.08,111.51,5.12,126.95
C0052,2020,165.33,207.31,25.40,318.84
C0052,2021,113.87,154.49,35.68,414.85
C0052,2022,184.56,202.07,9.49,270.14
C0052,2023,102.27,132.92,29.96,6.18
C0052,2024,160.23,198.55,23.92,338.79
C0053,2015,87.40,87.26,-0.16,406.98
C0053,2016,92.69,106.82,15.24,139.00
C0053,2017,171.31,205.59,20.01,28.04
C0053,2018,30.46,24.79,-18.59,259.46
C0053,2019,117.33,121.74,3.76,22.04
C0053,2020,148.00,206.55,39.56,208.59
C0053,2021,152.58,180.40,18.24,9.89
C0053,2022,122.38,122.45,0.05,113.26
C0053,2023,95.13,90.38,-5.00,195.02
C0053,2024,59.55,55.12,-7.43,56.74
C0054,2015,182.79,190.28,4.10,57.96
C0054,2016,80.26,73.51,-8.40,413.70
C0054,2017,161.81,142.57,-11.89,21.67
C0054,2018,16.02,16.31,1.84,344.79
C0054,2019,54.11,63.00,16.42,407.43
C0054,2020,75.66,67.17,-11.22,66.23
C0054,2021,137.60,113.74,-17.34,98.49
C0054,2022,70.67,58.01,-17.92,321.11
C0054,2023,17.86,17.15,-3.96,158.51
C0054,2024,43.03,39.34,-8.59,238.74
C0055,2015,59.24,66.56,12.36,418.17
C0055,2016,43.45,46.64,7.34,69.85
C0055,2017,48.71,48.46,-0.51,310.21
C0055,2018,156.10,202.95,30.01,471.26
C0055,2019,88.29,97.38,10.30,29.68
C0055,2020,86.98,74.36,-14.51,30.94
C0055,2021,193.66,189.29,-2.25,277.82
C0055,2022,94.87,131.31,38.40,480.08
C0055,2023,186.26,258.18,38.62,111.02
C0055,2024,66.82,63.67,-4.72,166.07
C0056,2015,86.12,77.54,-9.97,50.23
C0056,2016,85.29,93.60,9.74,181.76
C0056,2017,113.75,123.87,8.89,23.12
C0056,2018,121.01,126.58,4.61,195.16
C0056,2019,57.14,63.86,11.76,278.19
C0056,2020,160.78,151.02,-6.07,487.53
C0056,2021,104.34,90.67,-13.10,409.38
C0056,2022,11.34,12.95,14.23,411.21
C0056,2023,122.35,166.35,35.96,114.84
C0056,2024,161.63,142.66,-11.74,44.53
C0057,2015,57.59,70.42,22.29,301.93
C0057,2016,17.20,18.27,6.27,261.05
C0057,2017,163.36,159.51,-2.36,258.74
C0057,2018,195.49,256.46,31.19,55.39
C0057,2019,24.55,26.36,7.39,247.45
C0057,2020,188.23,216.46,15.00,76.03
C0057,2021,78.26,83.41,6.58,211.64
C0057,2022,188.87,160.31,-15.13,32.02
C0057,2023,133.28,154.20,15.69,428.59
C0057,2024,179.15,188.34,5.13,7.58
C0058,2015,159.31,135.74,-14.79,469.72
C0058,2016,15.32,17.73,15.75,431.58
C0058,2017,22.43,18.08,-19.41,376.55
C0058,2018,109.89,101.66,-7.49,491.29
C0058,2019,34.63,43.93,26.86,27.86
C0058,2020,97.60,80.30,-17.72,321.16
C0058,2021,191.38,227.36,18.80,424.80
C0058,2022,66.00,90.41,36.98,64.18
C0058,2023,102.89,92.88,-9.73,292.80
C0058,2024,83.01,87.18,5.03,197.57
C0059,2015,129.67,148.51,14.53,218.48
C0059,2016,46.83,50.12,7.02,456.35
C0059,2017,59.39,69.62,17.22,269.79
C0059,2018,173.17,180.52,4.25,47.54
C0059,2019,164.15,145.95,-11.09,468.67
C0059,2020,159.95,136.50,-14.66,93.42
C0059,2021,156.47,195.07,24.67,446.43
C0059,2022,97.29,91.76,-5.68,485.49
C0059,2023,148.49,194.29,30.85,439.04
C0059,2024,83.57,104.11,24.58,338.89
C0060,2015,29.13,24.17,-17.03,372.03
C0060,2016,84.74,78.02,-7.93,350.23
C0060,2017,40.15,39.15,-2.48,230.80
C0060,2018,84.26,97.46,15.67,137.94
C0060,2019,66.51,85.53,28.59,143.22
C0060,2020,123.84,103.56,-16.38,365.85
