Company_ID,Year,Employee_Turnover,Diversity,Training_Hours
C0006,2019,10.07,41.10,54.68
C0006,2020,8.33,33.43,59.99
C0006,2021,9.45,33.82,13.42
C0006,2022,16.36,53.93,46.60
C0006,2023,16.84,57.36,28.40
C0006,2024,9.40,53.10,16.95
C0007,2015,12.98,23.95,30.27
C0007,2016,16.37,31.59,59.91
C0007,2017,20.21,48.45,27.88
C0007,2018,11.40,58.98,23.87
C0007,2019,10.43,29.69,52.31
C0007,2020,19.61,55.93,53.40
C0007,2021,15.28,49.56,26.94
C0007,2022,22.13,59.34,24.93
C0007,2023,9.22,23.74,42.36
C0007,2024,20.42,35.79,20.26
C0008,2015,8.24,39.12,34.18
C0008,2016,16.70,46.88,17.07
C0008,2017,10.67,46.16,25.24
C0008,2018,7.02,56.25,24.87
C0008,2019,17.34,53.55,44.74
C0008,2020,15.14,22.21,24.11
C0008,2021,14.72,39.46,54.92
C0008,2022,16.85,36.28,59.15
C0008,2023,12.45,59.89,14.05
C0008,2024,18.40,37.09,29.88
C0009,2015,7.62,47.30,25.09
C0009,2016,19.30,31.38,27.60
C0009,2017,16.60,44.59,23.27
C0009,2018,14.73,28.27,29.13
C0009,2019,7.55,44.14,17.07
C0009,2020,10.57,54.73,23.99
C0009,2021,10.91,20.77,47.39
C0009,2022,9.68,40.18,27.20
C0009,2023,24.08,59.29,20.39
C0009,2024,23.31,26.37,15.42
C0010,2015,15.92,27.34,27.40
C0010,2016,9.11,38.83,42.17
C0010,2017,23.22,54.84,22.67
C0010,2018,19.99,42.51,31.12
C0010,2019,5.78,40.35,57.62
C0010,2020,14.81,23.47,37.62
C0010,2021,17.10,58.48,36.60
C0010,2022,6.33,33.88,30.50
C0010,2023,6.00,30.07,37.84
C0010,2024,14.27,36.47,59.23
C0011,2015,5.04,36.57,22.69
C0011,2016,5.94,38.34,57.10
C0011,2017,8.30,47.54,17.45
C0011,2018,23.20,54.72,15.56
C0011,2019,20.33,22.29,42.73
C0011,2020,14.01,39.63,22.56
C0011,2021,14.58,36.56,32.22
C0011,2022,18.72,20.44,46.48
C0011,2023,14.49,52.66,36.74
C0011,2024,6.28,24.17,10.69
C0012,2015,19.77,24.59,25.29
C0012,2016,6.15,21.93,13.23
C0012,2017,14.72,28.02,56.31
C0012,2018,22.23,27.07,49.73
C0012,2019,7.35,33.91,59.19
C0012,2020,19.13,46.37,54.26
C0012,2021,5.93,22.17,33.77
C0012,2022,24.86,54.41,54.13
C0012,2023,18.64,33.06,43.62
C0012,2024,24.38,44.26,36.23
C0013,2015,18.36,20.48,28.53
C0013,2016,9.85,34.63,44.05
C0013,2017,23.53,20.08,39.51
C0013,2018,17.53,26.62,40.71
C0013,2019,16.52,37.91,29.99
C0013,2020,13.58,41.40,46.97
C0013,2021,10.69,26.12,14.07
C0013,2022,15.60,49.81,46.31
C0013,2023,12.32,27.56,46.54
C0013,2024,22.08,24.63,35.80
C0014,2015,5.58,33.34,23.16
C0014,2016,15.60,42.06,35.96
C0014,2017,21.73,59.56,16.15
C0014,2018,5.55,36.75,24.26
C0014,2019,10.65,37.04,31.06
C0014,2020,6.03,22.37,43.66
C0014,2021,16.90,50.63,19.36
C0014,2022,11.33,27.27,17.91
C0014,2023,24.19,49.79,40.39
C0014,2024,17.33,56.42,43.98
C0015,2015,16.24,50.73,14.18
C0015,2016,23.34,45.70,11.66
C0015,2017,9.47,44.16,17.36
C0015,2018,16.24,38.15,55.05
C0015,2019,15.86,25.78,43.63
C0015,2020,6.64,51.15,56.05
C0015,2021,23.64,39.09,43.24
C0015,2022,19.00,45.03,58.26
C0015,2023,22.76,34.96,31.95
C0015,2024,24.65,28.03,39.95
C0016,2015,14.59,52.26,40.06
C0016,2016,21.07,33.70,10.16
C0016,2017,16.55,54.67,11.37
C0016,2018,24.54,58.63,17.26
C0016,2019,9.94,53.20,35.56
C0016,2020,5.28,25.13,31.53
C0016,2021,8.72,54.20,36.99
C0016,2022,7.56,40.77,50.02
C0016,2023,13.74,29.66,51.11
C0016,2024,6.55,23.73,58.85
C0017,2015,9.40,31.14,37.88
C0017,2016,6.93,25.50,27.36
C0017,2017,14.74,21.03,25.40
C0017,2018,10.34,59.51,27.04
C0017,2019,14.42,53.26,26.19
C0017,2020,6.78,49.56,29.65
C0017,2021,15.34,27.72,13.74
C0017,2022,7.60,21.11,41.67
C0017,2023,6.99,39.41,38.40
C0017,2024,11.20,49.67,33.10
C0018,2015,22.49,58.51,14.06
C0018,2016,20.77,53.76,14.66
C0018,2017,24.18,55.74,37.26
C0018,2018,14.20,29.55,11.83
C0018,2019,11.25,26.21,46.24
C0018,2020,24.42,29.91,59.69
C0018,2021,12.64,25.54,39.87
C0018,2022,5.18,51.94,46.17
C0018,2023,21.40,56.12,31.95
C0018,2024,8.38,32.29,43.37
C0019,2015,19.36,55.08,42.59
C0019,2016,5.30,22.20,51.20
C0019,2017,7.22,47.09,45.57
C0019,2018,14.67,41.10,47.45
C0019,2019,6.36,31.07,37.83
C0019,2020,22.77,50.73,34.23
C0019,2021,20.00,28.48,32.94
C0019,2022,11.56,36.65,29.60
C0019,2023,16.95,48.39,23.30
C0019,2024,19.31,33.53,11.67
C0020,2015,20.11,54.21,43.55
C0020,2016,12.91,54.62,55.05
C0020,2017,22.98,28.10,56.52
C0020,2018,23.84,37.62,39.03
C0020,2019,8.91,37.28,14.71
C0020,2020,23.22,36.40,53.93
C0020,2021,19.25,40.08,47.39
C0020,2022,22.76,22.97,22.57
C0020,2023,13.50,54.80,50.18
C0020,2024,18.22,31.60,33.60
C0021,2015,9.71,20.07,54.38
C0021,2016,20.02,47.40,22.38
C0021,2017,16.63,46.02,50.05
C0021,2018,14.62,59.33,45.60
C0021,2019,18.85,48.77,10.72
C0021,2020,16.05,33.31,38.17
C0021,2021,20.31,58.10,45.78
C0021,2022,22.17,34.61,17.82
C0021,2023,21.01,52.85,36.59
C0021,2024,11.15,33.43,25.20
C0022,2015,24.52,21.95,44.81
C0022,2016,17.99,49.35,37.01
C0022,2017,11.47,34.01,41.07
C0022,2018,5.85,33.56,13.63
C0022,2019,24.76,48.63,16.89
C0022,2020,16.98,32.88,37.60
C0022,2021,9.55,24.72,19.06
C0022,2022,14.82,36.18,34.93
C0022,2023,12.95,52.95,44.50
C0022,2024,24.03,25.21,50.49
C0023,2015,14.85,42.18,17.15
C0023,2016,14.69,25.29,47.09
C0023,2017,20.89,21.97,28.16
C0023,2018,12.82,35.15,43.95
C0023,2019,8.93,46.32,17.26
C0023,2020,20.37,31.00,35.76
C0023,2021,23.20,37.83,51.88
C0023,2022,5.91,39.65,15.32
C0023,2023,22.20,53.65,51.38
C0023,2024,13.76,52.76,32.64
C0024,2015,10.78,20.09,51.16
C0024,2016,5.78,36.56,57.92
C0024,2017,9.11,46.24,17.98
C0024,2018,11.66,54.10,43.73
C0024,2019,6.41,21.96,21.75
C0024,2020,8.78,45.13,16.78
C0024,2021,19.74,53.68,41.40
C0024,2022,18.74,30.20,15.40
C0024,2023,20.40,28.21,33.26
C0024,2024,8.31,38.71,41.80
C0025,2015,5.86,58.50,34.98
C0025,2016,14.37,47.72,44.85
C0025,2017,11.86,36.98,50.07
C0025,2018,20.53,20.83,53.61
C0025,2019,15.78,42.27,37.99
C0025,2020,23.62,33.95,23.83
C0025,2021,6.22,27.43,35.48
C0025,2022,12.27,40.01,29.38
C0025,2023,13.10,33.66,21.30
C0025,2024,7.52,21.55,36.45
C0026,2015,16.66,49.02,11.13
C0026,2016,5.80,49.30,40.28
C0026,2017,19.25,44.75,51.08
C0026,2018,5.75,53.63,59.97
C0026,2019,22.47,28.13,56.08
C0026,2020,6.30,31.45,14.49
C0026,2021,14.13,38.35,18.12
C0026,2022,8.11,22.41,16.93
C0026,2023,7.66,55.34,37.92
C0026,2024,19.42,39.63,12.30
C0027,2015,20.49,32.99,56.85
C0027,2016,19.78,39.12,13.09
C0027,2017,13.08,33.01,29.56
C0027,2018,24.82,31.45,54.70
C0027,2019,11.80,37.92,57.42
C0027,2020,9.91,39.28,33.26
C0027,2021,24.93,37.33,34.42
C0027,2022,24.55,41.92,41.81
C0027,2023,16.84,51.34,30.38
C0027,2024,9.18,22.29,26.23
C0028,2015,9.77,52.46,46.97
C0028,2016,15.42,29.14,39.77
C0028,2017,20.52,30.08,34.08
C0028,2018,6.55,43.98,15.04
C0028,2019,18.75,59.03,13.44
C0028,2020,7.06,20.70,35.54
C0028,2021,21.88,46.93,40.97
C0028,2022,15.64,47.88,42.88
C0028,2023,24.79,42.95,54.74
C0028,2024,20.06,20.39,50.81
C0029,2015,14.94,44.25,17.04
C0029,2016,7.82,24.60,49.72
C0029,2017,15.85,23.12,43.82
C0029,2018,7.29,47.84,51.40
C0029,2019,23.10,48.01,52.17
C0029,2020,9.60,55.60,27.28
C0029,2021,22.31,20.14,23.16
C0029,2022,11.08,35.15,37.63
C0029,2023,9.44,20.49,24.93
C0029,2024,11.08,34.59,27.48
C0030,2015,19.15,39.67,13.46
C0030,2016,15.50,41.19,59.57
C0030,2017,7.15,34.24,25.46
C0030,2018,7.74,49.01,49.00
C0030,2019,12.57,36.62,59.66
C0030,2020,11.77,40.69,58.46
C0030,2021,22.03,52.00,41.69
C0030,2022,16.45,26.97,36.93
C0030,2023,8.73,32.84,25.46
C0030,2024,5.57,40.86,53.08
C0031,2015,7.05,50.70,26.90
C0031,2016,19.01,37.01,15.34
C0031,2017,21.94,22.91,24.70
C0031,2018,20.65,59.55,25.75
C0031,2019,20.80,48.32,45.92
C0031,2020,10.22,48.91,18.48
C0031,2021,24.78,38.60,25.84
C0031,2022,6.73,41.88,13.83
C0031,2023,21.42,59.76,52.42
C0031,2024,6.94,43.80,46.24
C0032,2015,10.35,28.76,31.87
C0032,2016,14.91,58.58,31.50
C0032,2017,6.07,41.51,18.32
C0032,2018,12.88,20.83,29.22
C0032,2019,12.00,42.93,55.34
C0032,2020,17.94,22.82,16.93
C0032,2021,19.36,41.10,48.25
C0032,2022,6.81,53.01,12.36
C0032,2023,5.76,41.55,25.58
C0032,2024,20.52,34.94,52.35
C0033,2015,15.56,55.30,32.25
C0033,2016,15.69,57.10,45.13
C0033,2017,24.61,33.90,15.18
C0033,2018,13.75,39.96,44.17
C0033,2019,8.92,59.32,50.95
C0033,2020,18.61,27.12,50.26
C0033,2021,21.31,31.93,31.94
C0033,2022,15.05,37.14,55.21
C0033,2023,18.84,24.04,38.75
C0033,2024,15.28,30.88,50.89
C0034,2015,13.15,41.79,20.67
C0034,2016,5.69,29.14,20.51
C0034,2017,8.47,47.45,47.72
C0034,2018,14.60,33.91,42.33
C0034,2019,12.93,23.59,43.82
C0034,2020,21.86,50.58,21.83
C0034,2021,7.17,42.70,29.98
C0034,2022,6.00,52.99,22.92
C0034,2023,6.74,34.41,13.41
C0034,2024,18.56,20.78,20.20
C0035,2015,16.89,21.87,59.76
C0035,2016,17.64,51.82,21.70
C0035,2017,8.14,36.43,17.96
C0035,2018,15.33,59.06,44.84
C0035,2019,20.35,53.21,40.11
C0035,2020,18.68,20.64,47.30
C0035,2021,13.77,54.80,42.68
C0035,2022,7.07,28.51,21.15
C0035,2023,22.41,39.45,35.05
C0035,2024,15.52,40.24,18.83
C0036,2015,22.79,22.39,22.68
C0036,2016,13.77,25.03,59.35
C0036,2017,9.74,36.92,46.43
C0036,2018,11.15,45.70,49.14
C0036,2019,13.36,30.58,11.50
C0036,2020,17.28,41.06,29.11
C0036,2021,20.38,35.17,37.76
C0036,2022,9.85,45.21,17.48
C0036,2023,8.75,36.98,52.43
C0036,2024,9.05,54.07,16.98
C0037,2015,23.69,59.35,41.83
C0037,2016,8.28,56.52,37.66
C0037,2017,11.91,26.74,52.47
C0037,2018,14.72,38.29,25.59
C0037,2019,16.12,38.35,24.20
C0037,2020,22.16,53.62,52.32
C0037,2021,7.26,34.29,21.07
C0037,2022,7.16,41.98,47.30
C0037,2023,11.33,44.37,19.56
C0037,2024,13.26,24.46,53.78
C0038,2015,12.48,42.32,51.95
C0038,2016,12.84,29.87,49.37
C0038,2017,22.03,28.26,34.57
C0038,2018,21.73,30.01,11.69
C0038,2019,21.11,23.97,16.62
C0038,2020,20.11,22.79,32.83
C0038,2021,5.81,45.87,12.18
C0038,2022,7.99,57.64,13.17
C0038,2023,19.64,47.52,16.28
C0038,2024,16.90,32.47,23.04
C0039,2015,18.48,33.40,47.47
C0039,2016,19.34,41.66,12.40
C0039,2017,23.23,54.65,59.18
C0039,2018,17.70,28.10,23.69
C0039,2019,10.51,38.74,26.01
C0039,2020,6.66,39.96,22.39
C0039,2021,13.64,57.25,40.12
C0039,2022,19.20,41.45,10.97
C0039,2023,10.64,51.23,14.68
C0039,2024,7.40,23.51,14.94
C0040,2015,24.97,33.08,43.23
C0040,2016,13.38,44.46,26.48
C0040,2017,9.33,47.11,31.87
C0040,2018,8.29,55.41,57.50
C0040,2019,22.26,43.62,20.00
C0040,2020,21.39,31.58,13.51
C0040,2021,17.27,41.56,32.07
C0040,2022,15.94,48.46,18.20
C0040,2023,24.03,51.37,17.23
C0040,2024,9.57,57.78,30.51
C0041,2015,13.31,27.63,43.48
C0041,2016,5.49,46.44,22.14
C0041,2017,13.37,28.01,53.80
C0041,2018,12.68,32.71,28.12
C0041,2019,23.99,25.71,56.70
C0041,2020,12.16,50.92,34.62
C0041,2021,21.70,56.56,46.34
C0041,2022,20.33,21.20,52.45
C0041,2023,7.95,52.54,36.49
C0041,2024,24.25,29.67,52.52
C0042,2015,17.62,39.48,28.90
C0042,2016,16.93,49.93,28.17
C0042,2017,5.23,40.27,49.70
C0042,2018,18.98,29.25,22.06
C0042,2019,6.11,56.25,45.85
C0042,2020,8.71,43.74,13.85
C0042,2021,6.97,57.25,41.78
C0042,2022,12.56,53.87,57.10
C0042,2023,20.91,55.06,32.82
C0042,2024,19.15,34.47,30.80
C0043,2015,7.13,59.49,37.03
C0043,2016,20.97,54.10,45.98
C0043,2017,14.22,33.50,27.94
C0043,2018,5.65,55.86,10.01
C0043,2019,9.48,50.21,35.10
C0043,2020,20.70,49.01,30.96
C0043,2021,19.67,20.25,36.64
C0043,2022,8.77,20.90,45.77
C0043,2023,5.76,47.79,24.17
C0043,2024,10.90,31.15,35.26
C0044,2015,20.90,22.34,22.67
C0044,2016,23.77,31.44,32.97
C0044,2017,16.46,53.52,27.23
C0044,2018,6.82,38.82,28.45
C0044,2019,15.04,44.62,38.97
C0044,2020,24.98,52.02,44.48
C0044,2021,23.77,32.93,10.63
C0044,2022,24.86,20.45,53.83
C0044,2023,18.99,32.93,28.22
C0044,2024,13.52,58.27,42.18
C0045,2015,22.86,39.29,16.12
C0045,2016,22.90,42.79,38.57
C0045,2017,7.89,50.42,43.92
C0045,2018,20.51,24.60,17.87
C0045,2019,23.39,49.36,55.61
C0045,2020,22.97,31.91,47.87
C0045,2021,19.14,35.53,36.70
C0045,2022,15.75,30.78,18.30
C0045,2023,20.53,26.14,53.28
C0045,2024,15.32,34.46,13.43
C0046,2015,11.42,23.79,15.76
C0046,2016,10.18,53.79,44.91
C0046,2017,15.81,32.24,22.69
C0046,2018,14.12,46.14,32.97
C0046,2019,15.49,31.87,36.95
C0046,2020,10.21,28.43,32.91
C0046,2021,16.81,48.55,14.19
C0046,2022,18.24,44.96,46.87
C0046,2023,21.14,28.72,22.00
C0046,2024,16.80,44.48,46.93
C0047,2015,20.12,20.20,53.26
C0047,2016,8.39,27.08,36.82
C0047,2017,7.42,49.11,45.32
C0047,2018,8.59,36.41,11.85
C0047,2019,21.93,28.15,11.84
C0047,2020,16.12,40.24,19.86
C0047,2021,14.11,38.61,27.92
C0047,2022,20.24,45.36,19.14
C0047,2023,7.48,22.90,41.75
C0047,2024,5.12,52.77,23.84
C0048,2015,11.22,22.33,52.29
C0048,2016,9.98,38.15,38.03
C0048,2017,11.15,48.42,28.90
C0048,2018,24.47,33.79,54.65
C0048,2019,16.35,56.40,51.42
C0048,2020,16.78,50.21,51.00
C0048,2021,18.11,37.04,46.42
C0048,2022,12.95,27.35,40.71
C0048,2023,24.58,21.74,28.34
C0048,2024,24.47,52.07,31.13
C0049,2015,20.38,27.77,42.36
C0049,2016,9.23,30.79,18.64
C0049,2017,22.60,20.42,51.39
C0049,2018,7.02,20.73,56.93
C0049,2019,17.60,29.22,14.90
C0049,2020,14.14,54.91,11.12
C0049,2021,5.78,51.23,17.14
C0049,2022,23.08,50.79,48.00
C0049,2023,24.22,53.08,15.39
C0049,2024,23.15,27.46,28.61
C0050,2015,8.85,59.16,13.16
C0050,2016,11.66,29.29,31.63
C0050,2017,24.11,26.00,40.19
C0050,2018,7.13,31.79,41.43
C0050,2019,16.67,41.22,35.95
C0050,2020,14.71,24.98,56.91
C0050,2021,8.04,49.54,36.56
C0050,2022,22.73,34.86,52.96
C0050,2023,7.68,42.74,59.65
C0050,2024,16.85,49.37,21.49
C0051,2015,11.36,56.08,23.28
C0051,2016,13.36,52.77,36.09
C0051,2017,9.23,41.50,19.12
C0051,2018,17.49,59.65,38.21
C0051,2019,24.77,41.19,44.22
C0051,2020,21.67,41.44,13.02
C0051,2021,18.66,26.34,44.07
C0051,2022,20.13,25.95,17.97
C0051,2023,21.79,26.75,24.97
C0051,2024,14.45,43.67,46.94
C0052,2015,16.34,36.61,18.18
C0052,2016,22.91,35.44,36.58
C0052,2017,18.92,25.10,39.46
C0052,2018,7.72,35.24,18.22
C0052,2019,20.59,35.12,23.74
C0052,2020,5.45,44.83,40.32
C0052,2021,21.95,35.54,33.06
C0052,2022,20.77,36.75,43.00
C0052,2023,21.61,30.90,52.74
C0052,2024,5.47,25.26,16.75
C0053,2015,24.45,32.00,13.53
C0053,2016,17.28,21.71,43.34
C0053,2017,21.00,28.15,48.53
C0053,2018,16.33,33.00,32.47
C0053,2019,11.79,25.83,29.70
C0053,2020,10.92,46.60,39.84
C0053,2021,6.40,31.23,37.57
C0053,2022,15.85,44.62,34.51
C0053,2023,7.87,45.76,50.94
C0053,2024,16.35,37.89,18.68
C0054,2015,17.50,37.96,44.06
C0054,2016,13.84,43.26,47.07
C0054,2017,8.13,30.50,55.07
C0054,2018,13.65,20.85,57.26
C0054,2019,22.57,45.80,35.39
C0054,2020,14.16,44.34,31.68
C0054,2021,11.85,39.06,35.20
C0054,2022,17.60,55.03,46.63
C0054,2023,17.38,40.34,10.86
C0054,2024,6.81,32.14,18.71
C0055,2015,9.73,48.54,55.38
C0055,2016,14.89,58.50,19.77
C0055,2017,12.33,49.48,21.42
C0055,2018,11.40,56.35,56.97
C0055,2019,13.91,24.51,24.71
C0055,2020,10.81,24.84,24.52
C0055,2021,11.95,26.18,56.19
C0055,2022,20.47,48.11,28.75
C0055,2023,15.20,35.59,34.70
C0055,2024,22.46,39.11,38.02
C0056,2015,23.97,30.48,53.41
C0056,2016,23.44,49.44,13.88
C0056,2017,10.07,53.81,23.04
C0056,2018,14.46,26.41,39.35
C0056,2019,15.70,27.71,31.73
C0056,2020,22.04,33.58,23.91
C0056,2021,16.18,31.21,30.48
C0056,2022,10.05,41.26,58.31
C0056,2023,15.95,50.10,11.05
C0056,2024,5.89,51.73,17.35
C0057,2015,21.68,28.34,10.93
C0057,2016,16.32,27.02,39.67
C0057,2017,18.03,34.55,10.65
C0057,2018,9.02,25.91,32.70
C0057,2019,16.16,23.67,52.96
C0057,2020,15.61,29.70,14.86
C0057,2021,17.39,35.76,28.26
C0057,2022,21.95,43.51,28.90
C0057,2023,20.29,48.93,28.11
C0057,2024,15.94,28.91,46.37
C0058,2015,22.87,52.75,10.22
C0058,2016,12.17,21.35,49.00
C0058,2017,14.85,37.76,51.95
C0058,2018,17.99,45.32,31.57
C0058,2019,13.82,31.65,54.36
C0058,2020,12.23,47.35,29.05
C0058,2021,7.25,54.68,44.74
C0058,2022,17.72,23.57,29.44
C0058,2023,8.85,40.50,11.89
C0058,2024,7.77,20.75,14.17
C0059,2015,8.64,31.18,32.10
C0059,2016,18.77,25.48,59.50
C0059,2017,7.77,44.97,18.88
C0059,2018,24.52,29.95,54.78
C0059,2019,20.17,31.30,55.97
C0059,2020,12.85,28.23,30.48
C0059,2021,16.87,29.75,33.09
C0059,2022,5.15,29.00,35.14
C0059,2023,21.89,47.91,48.52
C0059,2024,10.42,58.23,16.19
C0060,2015,6.44,39.61,26.43
C0060,2016,20.16,44.02,18.54
C0060,2017,11.59,52.72,53.92
C0060,2018,16.35,39.04,13.53
C0060,2019,21.88,32.08,47.39
C0060,2020,20.52,58.04,31.99
C0060,2021,11.74,56.25,45.73
C0060,2022,22.37,28.81,54.49
C0060,2023,12.78,48.12,26.98
C0060,2024,15.00,45.89,21.35
C0061,2015,17.25,45.99,42.51
C0061,2016,6.42,53.22,59.88
C0061,2017,16.94,46.96,46.48
C0061,2018,16.55,40.72,49.78
C0061,2019,22.47,53.84,41.49
C0061,2020,12.07,30.59,28.41
C0061,2021,9.84,47.17,42.73
C0061,2022,14.53,48.06,16.43
C0061,2023,18.75,54.81,34.44
C0061,2024,16.24,59.93,38.65
C0062,2015,7.76,42.30,55.34
C0062,2016,11.96,39.38,55.99
C0062,2017,6.28,44.03,13.01
C0062,2018,19.79,46.35,41.59
C0062,2019,22.66,48.52,49.82
C0062,2020,5.91,31.25,36.82
C0062,2021,15.51,39.48,14.78
C0062,2022,16.32,34.84,21.64
C0062,2023,13.78,21.55,25.68
C0062,2024,15.05,44.38,43.14
C0063,2015,19.21,54.99,13.28
C0063,2016,14.67,56.86,37.48
C0063,2017,23.39,40.70,15.45
C0063,2018,15.82,50.64,29.76
C0063,2019,6.44,48.50,31.28
C0063,2020,24.07,29.16,32.59
C0063,2021,7.94,22.52,45.54
C0063,2022,20.69,49.91,14.06
C0063,2023,15.54,31.31,23.41
C0063,2024,19.82,41.98,42.06
C0064,2015,15.27,40.96,57.18
C0064,2016,6.18,52.71,41.04
C0064,2017,12.50,45.79,54.17
C0064,2018,17.41,53.89,58.42
C0064,2019,17.58,50.09,54.20
C0064,2020,24.46,59.99,58.61
C0064,2021,17.13,54.55,48.85
C0064,2022,10.73,28.44,54.36
C0064,2023,5.87,58.46,34.57
C0064,2024,20.77,33.61,27.27
C0065,2015,22.79,44.31,59.99
C0065,2016,17.27,57.65,14.89
C0065,2017,14.65,28.57,57.91
C0065,2018,22.22,54.29,31.54
C0065,2019,9.81,58.13,11.12
C0065,2020,12.97,54.15,50.15
C0065,2021,15.15,52.77,32.21
C0065,2022,5.99,30.58,49.93
C0065,2023,18.77,36.28,12.24
C0065,2024,8.77,50.41,58.71
C0066,2015,11.66,24.73,43.55
C0066,2016,13.29,55.53,12.40
C0066,2017,17.77,28.41,10.23
C0066,2018,6.31,42.59,39.70
C0066,2019,11.82,24.20,58.82
C0066,2020,10.49,27.41,36.20
C0066,2021,5.03,43.42,27.69
C0066,2022,18.83,45.39,56.95
C0066,2023,9.72,30.79,59.20
C0066,2024,8.33,24.76,49.22
C0067,2015,20.96,41.98,45.90
C0067,2016,5.78,53.63,10.10
C0067,2017,23.00,28.06,25.68
C0067,2018,18.74,47.66,56.26
C0067,2019,8.43,35.44,28.41
C0067,2020,12.00,57.72,26.73
C0067,2021,24.00,23.30,36.86
C0067,2022,17.38,21.60,32.39
C0067,2023,17.17,24.97,52.94
C0067,2024,18.06,51.30,14.08
C0068,2015,14.25,56.91,42.94
C0068,2016,8.35,52.90,44.86
C0068,2017,8.02,48.71,54.01
C0068,2018,18.75,22.30,30.79
C0068,2019,22.68,28.55,24.75
C0068,2020,11.00,57.42,41.33
C0068,2021,15.07,44.91,46.25
C0068,2022,24.84,38.73,18.55
C0068,2023,10.14,46.09,17.91
C0068,2024,12.80,27.14,23.18
C0069,2015,12.27,55.71,22.40
C0069,2016,5.65,46.25,47.53
C0069,2017,15.19,38.85,36.54
C0069,2018,9.17,38.30,37.39
C0069,2019,7.57,52.90,10.74
C0069,2020,19.21,32.31,59.71
C0069,2021,20.32,25.49,51.49
C0069,2022,22.78,27.43,32.18
C0069,2023,23.68,23.25,13.34
C0069,2024,22.38,40.31,44.71
C0070,2015,7.45,47.09,36.75
C0070,2016,9.47,57.36,43.88
C0070,2017,7.45,50.03,43.88
C0070,2018,12.07,43.32,17.74
C0070,2019,7.48,54.56,26.44
C0070,2020,18.07,55.69,10.89
C0070,2021,19.33,48.50,59.11
C0070,2022,8.19,22.25,50.32
C0070,2023,17.43,31.67,56.44
C0070,2024,5.46,33.45,12.21
C0071,2015,13.69,59.90,35.02
C0071,2016,10.71,38.57,47.37
C0071,2017,24.97,50.48,15.19
C0071,2018,23.46,52.55,48.85
C0071,2019,7.95,46.13,42.38
C0071,2020,23.35,20.73,59.25
C0071,2021,13.38,20.77,17.04
C0071,2022,16.53,52.75,41.46
C0071,2023,15.68,49.57,57.36
C0071,2024,19.52,41.44,47.18
C0072,2015,11.70,29.95,26.81
C0072,2016,6.39,23.47,15.96
C0072,2017,13.35,26.57,58.19
C0072,2018,15.89,43.21,13.60
C0072,2019,16.10,41.83,58.76
C0072,2020,20.85,57.65,25.18
C0072,2021,5.88,58.29,53.02
C0072,2022,24.76,43.04,37.72
C0072,2023,24.81,53.66,55.63
C0072,2024,6.98,52.49,31.33
C0073,2015,11.88,50.10,52.49
C0073,2016,16.81,37.49,21.92
C0073,2017,12.47,35.58,33.34
C0073,2018,14.75,30.57,52.32
C0073,2019,11.52,57.48,15.92
C0073,2020,19.24,53.38,46.43
C0073,2021,12.28,27.08,31.84
C0073,2022,13.60,30.10,35.66
C0073,2023,16.52,43.25,38.95
C0073,2024,24.38,36.54,23.78
C0074,2015,17.84,28.56,14.82
C0074,2016,6.94,51.65,10.93
C0074,2017,11.38,20.06,31.55
