Company_ID,Year,Board_Independence,Female_Board,Exec_Comp_to_Revenue
C0008,2019,70.27,46.40,3.36
C0008,2020,53.32,24.75,2.74
C0008,2021,74.69,43.16,3.78
C0008,2022,65.22,34.64,1.35
C0008,2023,84.34,43.24,5.40
C0008,2024,80.18,23.00,5.38
C0009,2015,50.73,46.69,3.82
C0009,2016,56.66,46.97,4.69
C0009,2017,68.96,28.99,3.19
C0009,2018,76.35,26.01,3.95
C0009,2019,78.61,33.01,4.09
C0009,2020,82.65,18.01,2.77
C0009,2021,51.97,29.85,5.80
C0009,2022,50.74,45.87,4.01
C0009,2023,74.02,24.61,5.95
C0009,2024,78.95,39.44,3.16
C0010,2015,81.47,34.92,1.16
C0010,2016,56.23,20.46,2.51
C0010,2017,88.75,31.27,4.25
C0010,2018,59.18,44.10,5.55
C0010,2019,60.01,32.20,4.08
C0010,2020,56.17,37.87,3.36
C0010,2021,51.73,41.02,1.40
C0010,2022,82.39,11.98,1.72
C0010,2023,50.23,12.05,1.27
C0010,2024,68.55,14.60,4.56
C0011,2015,53.68,16.52,5.16
C0011,2016,51.79,42.46,1.82
C0011,2017,87.39,27.42,2.63
C0011,2018,83.02,17.41,3.40
C0011,2019,65.80,31.27,1.71
C0011,2020,68.34,40.53,3.08
C0011,2021,84.72,15.60,5.83
C0011,2022,81.87,23.78,4.60
C0011,2023,77.66,17.77,1.83
C0011,2024,71.46,35.85,1.49
C0012,2015,74.31,15.47,3.23
C0012,2016,65.73,41.24,5.94
C0012,2017,71.12,18.31,4.97
C0012,2018,71.59,12.34,2.47
C0012,2019,84.59,46.43,1.13
C0012,2020,58.75,23.33,3.06
C0012,2021,59.86,30.11,1.80
C0012,2022,58.44,14.04,1.90
C0012,2023,73.17,29.18,1.81
C0012,2024,77.81,18.90,4.60
C0013,2015,59.54,43.62,1.18
C0013,2016,77.08,38.55,3.82
C0013,2017,75.12,36.53,4.76
C0013,2018,62.84,41.25,1.78
C0013,2019,59.19,21.75,5.46
C0013,2020,85.27,28.15,1.39
C0013,2021,72.79,13.46,4.41
C0013,2022,78.16,12.71,1.86
C0013,2023,87.01,23.16,5.03
C0013,2024,58.22,42.91,3.86
C0014,2015,64.02,33.91,3.95
C0014,2016,67.38,26.98,2.73
C0014,2017,59.32,48.68,2.42
C0014,2018,83.62,27.69,3.32
C0014,2019,53.34,28.76,4.79
C0014,2020,59.57,49.70,1.84
C0014,2021,57.64,15.25,5.08
C0014,2022,88.14,20.22,3.40
C0014,2023,75.09,28.13,3.26
C0014,2024,78.65,32.85,1.08
C0015,2015,54.34,15.92,1.62
C0015,2016,57.76,23.15,3.16
C0015,2017,82.40,18.81,5.91
C0015,2018,72.71,44.00,2.25
C0015,2019,51.80,43.38,1.05
C0015,2020,72.63,19.59,3.18
C0015,2021,69.02,27.40,1.08
C0015,2022,56.15,36.07,2.68
C0015,2023,73.72,11.93,2.77
C0015,2024,56.95,45.34,1.01
C0016,2015,82.46,30.44,4.90
C0016,2016,74.74,19.06,5.56
C0016,2017,84.85,25.87,5.99
C0016,2018,66.99,46.07,3.54
C0016,2019,70.48,10.99,2.53
C0016,2020,80.42,15.71,4.59
C0016,2021,71.85,17.71,4.68
C0016,2022,72.88,12.40,2.90
C0016,2023,72.13,19.01,3.83
C0016,2024,69.65,42.69,5.11
C0017,2015,82.23,31.08,1.95
C0017,2016,69.41,34.22,1.10
C0017,2017,86.03,16.24,3.70
C0017,2018,82.34,21.13,4.32
C0017,2019,77.70,46.70,3.87
C0017,2020,85.95,18.42,3.98
C0017,2021,71.48,46.27,2.97
C0017,2022,82.87,36.53,4.26
C0017,2023,59.67,30.11,1.21
C0017,2024,52.92,16.96,1.76
C0018,2015,77.40,36.94,3.22
C0018,2016,62.06,45.46,5.71
C0018,2017,75.38,16.39,4.22
C0018,2018,53.10,10.25,2.78
C0018,2019,88.23,39.60,3.29
C0018,2020,70.60,34.02,5.23
C0018,2021,50.38,30.12,3.71
C0018,2022,69.04,28.24,1.24
C0018,2023,81.59,29.90,3.08
C0018,2024,84.61,24.98,2.94
C0019,2015,68.45,13.29,5.50
C0019,2016,55.04,41.03,2.53
C0019,2017,86.25,28.71,1.32
C0019,2018,89.25,43.00,2.77
C0019,2019,52.53,49.29,1.22
C0019,2020,53.12,16.87,5.16
C0019,2021,72.62,41.74,3.95
C0019,2022,71.36,49.10,3.35
C0019,2023,73.55,38.98,2.80
C0019,2024,62.68,19.84,3.09
C0020,2015,52.01,45.86,4.94
C0020,2016,73.21,41.73,1.90
C0020,2017,56.06,27.97,1.36
C0020,2018,63.65,32.90,3.81
C0020,2019,73.30,38.88,5.29
C0020,2020,58.34,14.98,3.81
C0020,2021,71.70,47.08,4.98
C0020,2022,78.59,49.50,5.46
C0020,2023,52.63,23.22,1.38
C0020,2024,74.78,38.60,3.95
C0021,2015,70.38,26.85,5.16
C0021,2016,53.90,11.11,4.22
C0021,2017,78.25,48.35,3.96
C0021,2018,62.44,15.69,4.94
C0021,2019,57.29,13.00,4.54
C0021,2020,61.30,43.49,3.51
C0021,2021,71.85,11.35,1.22
C0021,2022,73.20,37.52,4.07
C0021,2023,56.79,47.20,2.07
C0021,2024,87.47,26.25,2.27
C0022,2015,63.16,12.73,4.40
C0022,2016,60.73,18.73,3.27
C0022,2017,57.47,47.93,4.58
C0022,2018,54.82,28.62,2.96
C0022,2019,89.28,31.65,5.35
C0022,2020,76.99,16.24,3.14
C0022,2021,81.48,46.72,3.47
C0022,2022,66.06,30.69,1.63
C0022,2023,66.58,31.15,3.52
C0022,2024,89.48,33.04,2.20
C0023,2015,58.03,40.70,4.81
C0023,2016,63.08,18.12,4.57
C0023,2017,57.81,47.69,1.08
C0023,2018,61.30,17.02,3.47
C0023,2019,76.54,17.90,1.23
C0023,2020,62.36,10.50,3.85
C0023,2021,85.02,10.79,5.51
C0023,2022,51.95,27.15,5.34
C0023,2023,64.19,17.32,2.22
C0023,2024,84.43,18.48,1.70
C0024,2015,74.86,49.52,4.96
C0024,2016,80.84,47.17,3.73
C0024,2017,62.95,22.90,3.12
C0024,2018,64.77,23.73,5.05
C0024,2019,85.53,21.68,2.26
C0024,2020,79.98,45.29,2.12
C0024,2021,65.37,13.93,4.06
C0024,2022,58.61,33.36,2.36
C0024,2023,54.25,17.45,3.13
C0024,2024,84.47,40.33,3.27
C0025,2015,77.91,35.25,2.03
C0025,2016,74.29,25.51,1.31
C0025,2017,81.06,13.92,4.83
C0025,2018,86.60,40.70,4.92
C0025,2019,80.46,13.08,3.99
C0025,2020,66.83,20.95,1.74
C0025,2021,57.06,20.15,3.38
C0025,2022,78.55,33.14,1.89
C0025,2023,59.87,30.55,5.41
C0025,2024,81.30,21.19,4.49
C0026,2015,63.55,27.22,1.16
C0026,2016,56.27,27.45,1.01
C0026,2017,60.19,32.94,5.92
C0026,2018,60.67,45.93,1.20
C0026,2019,65.15,15.68,5.33
C0026,2020,60.29,32.31,5.78
C0026,2021,59.02,10.74,2.54
C0026,2022,65.67,37.93,3.70
C0026,2023,84.72,35.62,4.24
C0026,2024,52.82,37.76,3.60
C0027,2015,61.85,29.00,2.07
C0027,2016,72.49,17.47,3.91
C0027,2017,84.98,27.92,2.29
C0027,2018,61.37,10.94,1.83
C0027,2019,63.95,25.26,3.53
C0027,2020,81.92,43.54,2.86
C0027,2021,64.90,23.54,1.14
C0027,2022,84.06,33.67,5.75
C0027,2023,68.21,20.44,1.20
C0027,2024,72.76,15.37,5.51
C0028,2015,72.44,30.84,1.95
C0028,2016,54.77,11.43,1.71
C0028,2017,64.20,46.18,1.35
C0028,2018,59.66,41.09,3.13
C0028,2019,77.32,49.92,3.93
C0028,2020,87.35,49.73,5.52
C0028,2021,58.50,39.16,4.92
C0028,2022,53.65,41.07,1.80
C0028,2023,70.26,31.12,1.84
C0028,2024,65.63,18.74,1.04
C0029,2015,51.43,42.34,4.44
C0029,2016,86.86,20.79,1.09
C0029,2017,87.61,36.00,1.69
C0029,2018,84.02,39.24,4.17
C0029,2019,61.22,32.57,1.75
C0029,2020,54.90,36.51,1.77
C0029,2021,73.70,21.72,2.17
C0029,2022,61.26,40.42,2.93
C0029,2023,58.07,47.74,1.04
C0029,2024,75.65,29.36,4.73
C0030,2015,80.02,14.84,4.87
C0030,2016,71.09,34.79,2.83
C0030,2017,62.80,23.66,4.99
C0030,2018,70.50,26.76,2.42
C0030,2019,73.99,16.07,5.93
C0030,2020,52.08,35.03,2.99
C0030,2021,67.75,41.49,4.34
C0030,2022,73.93,40.66,2.61
C0030,2023,55.18,49.76,3.25
C0030,2024,67.95,18.49,4.23
C0031,2015,63.87,46.57,2.74
C0031,2016,84.72,39.30,4.28
C0031,2017,69.58,38.30,1.73
C0031,2018,67.05,37.35,3.42
C0031,2019,59.76,31.53,2.36
C0031,2020,88.30,25.15,5.60
C0031,2021,88.45,47.73,5.12
C0031,2022,64.67,16.04,3.44
C0031,2023,87.16,17.04,3.27
C0031,2024,74.74,10.67,5.17
C0032,2015,81.24,39.58,4.45
C0032,2016,53.59,45.76,4.42
C0032,2017,50.85,17.44,3.74
C0032,2018,70.56,11.38,5.31
C0032,2019,53.04,19.76,1.95
C0032,2020,85.67,45.35,5.31
C0032,2021,82.81,10.65,3.60
C0032,2022,78.59,14.05,4.11
C0032,2023,51.26,11.00,5.81
C0032,2024,68.33,47.73,3.12
C0033,2015,53.12,15.42,4.34
C0033,2016,87.15,46.02,3.61
C0033,2017,74.50,28.94,5.66
C0033,2018,56.26,25.79,3.44
C0033,2019,72.42,27.06,2.28
C0033,2020,54.74,26.75,3.41
C0033,2021,55.83,23.67,5.58
C0033,2022,53.24,42.43,3.50
C0033,2023,84.87,30.32,1.73
C0033,2024,71.83,49.64,3.71
C0034,2015,63.12,30.71,2.94
C0034,2016,50.03,42.74,4.25
C0034,2017,68.88,39.80,2.21
C0034,2018,70.51,26.04,2.61
C0034,2019,63.46,41.55,3.58
C0034,2020,69.37,16.20,1.59
C0034,2021,54.03,18.13,2.05
C0034,2022,86.88,34.76,5.01
C0034,2023,60.33,38.46,5.70
C0034,2024,87.94,35.75,5.85
C0035,2015,69.72,30.38,5.69
C0035,2016,84.27,15.50,5.71
C0035,2017,73.09,24.91,5.11
C0035,2018,83.78,34.20,4.68
C0035,2019,50.41,19.04,2.16
C0035,2020,57.46,35.51,3.21
C0035,2021,64.16,19.37,2.99
C0035,2022,61.85,13.91,4.65
C0035,2023,87.87,22.97,3.38
C0035,2024,65.79,20.91,2.80
C0036,2015,88.88,42.42,5.07
C0036,2016,76.04,29.34,4.75
C0036,2017,83.42,12.56,2.84
C0036,2018,65.75,42.62,3.10
C0036,2019,57.60,20.75,5.47
C0036,2020,52.02,32.71,4.66
C0036,2021,76.26,31.66,4.45
C0036,2022,88.87,48.86,4.56
C0036,2023,54.73,20.20,1.51
C0036,2024,80.87,15.81,3.82
C0037,2015,64.58,20.34,2.46
C0037,2016,89.74,33.06,1.42
C0037,2017,84.80,18.70,4.66
C0037,2018,59.23,23.62,2.52
C0037,2019,80.63,36.32,2.55
C0037,2020,79.37,14.66,4.20
C0037,2021,80.54,47.81,4.33
C0037,2022,53.31,31.29,3.37
C0037,2023,82.38,29.34,3.78
C0037,2024,60.46,24.52,5.24
C0038,2015,73.62,19.83,1.54
C0038,2016,54.62,29.34,1.33
C0038,2017,72.32,29.45,4.28
C0038,2018,86.26,12.24,4.02
C0038,2019,57.09,43.90,1.93
C0038,2020,84.20,42.83,3.61
C0038,2021,67.42,27.91,4.73
C0038,2022,62.89,23.47,4.66
C0038,2023,52.28,29.96,3.98
C0038,2024,71.14,18.86,1.65
C0039,2015,58.00,10.03,2.52
C0039,2016,87.60,24.17,3.03
C0039,2017,59.53,10.72,4.94
C0039,2018,73.47,11.63,3.72
C0039,2019,72.34,11.18,4.67
C0039,2020,63.47,45.20,5.62
C0039,2021,84.08,15.74,4.12
C0039,2022,57.33,20.17,2.19
C0039,2023,82.68,29.61,1.70
C0039,2024,58.30,31.17,1.00
C0040,2015,51.56,14.88,1.88
C0040,2016,87.75,46.38,2.35
C0040,2017,75.49,19.24,2.35
C0040,2018,75.22,47.70,4.34
C0040,2019,60.60,20.28,1.75
C0040,2020,55.57,10.10,3.18
C0040,2021,78.24,48.87,1.02
C0040,2022,70.75,29.35,2.31
C0040,2023,62.72,45.15,1.21
C0040,2024,62.67,39.37,4.55
C0041,2015,85.57,17.16,2.77
C0041,2016,85.59,43.81,3.40
C0041,2017,60.99,12.04,4.81
C0041,2018,81.77,30.30,5.31
C0041,2019,59.07,20.16,3.58
C0041,2020,82.32,24.46,4.25
C0041,2021,55.05,40.28,4.68
C0041,2022,80.33,37.34,2.43
C0041,2023,72.23,27.60,4.54
C0041,2024,54.70,11.84,4.27
C0042,2015,74.63,11.60,3.22
C0042,2016,57.70,38.09,2.70
C0042,2017,57.76,47.95,5.87
C0042,2018,67.89,43.89,5.93
C0042,2019,88.57,14.89,4.48
C0042,2020,85.69,14.85,2.92
C0042,2021,83.06,34.42,4.76
C0042,2022,84.05,36.30,4.40
C0042,2023,69.89,34.66,3.72
C0042,2024,64.99,45.42,1.66
C0043,2015,85.36,19.24,5.73
C0043,2016,53.23,16.89,2.16
C0043,2017,89.84,46.57,2.97
C0043,2018,72.12,38.89,2.71
C0043,2019,71.62,38.47,1.77
C0043,2020,61.68,23.42,1.12
C0043,2021,56.81,35.11,5.65
C0043,2022,77.21,39.07,4.70
C0043,2023,64.47,34.01,1.10
C0043,2024,62.10,39.45,4.44
C0044,2015,56.49,33.60,1.65
C0044,2016,71.41,49.28,4.62
C0044,2017,73.53,29.68,3.53
C0044,2018,67.72,10.50,5.89
C0044,2019,50.48,16.53,3.16
C0044,2020,69.67,48.57,4.74
C0044,2021,60.88,28.78,1.21
C0044,2022,55.55,14.82,5.68
C0044,2023,73.10,16.23,3.81
C0044,2024,76.85,11.16,2.57
C0045,2015,70.75,19.05,1.63
C0045,2016,74.57,49.47,4.20
C0045,2017,74.26,23.15,4.73
C0045,2018,54.97,20.01,1.43
C0045,2019,58.63,36.70,1.82
C0045,2020,50.38,36.97,2.93
C0045,2021,89.28,48.71,5.26
C0045,2022,58.45,39.18,5.91
C0045,2023,82.59,14.40,4.73
C0045,2024,81.25,49.42,1.03
C0046,2015,78.20,40.01,5.52
C0046,2016,67.99,20.37,1.13
C0046,2017,73.35,20.45,5.49
C0046,2018,57.45,48.40,3.05
C0046,2019,54.24,17.71,4.71
C0046,2020,64.07,19.10,1.44
C0046,2021,83.02,24.36,1.82
C0046,2022,72.56,37.18,3.25
C0046,2023,80.55,27.19,1.19
C0046,2024,85.61,22.45,2.95
C0047,2015,72.42,20.70,4.76
C0047,2016,64.69,15.00,4.27
C0047,2017,84.23,31.85,2.76
C0047,2018,59.19,20.94,1.04
C0047,2019,50.99,23.26,2.35
C0047,2020,52.03,10.31,4.88
C0047,2021,73.29,31.25,2.70
C0047,2022,85.69,37.86,2.89
C0047,2023,72.57,47.10,1.37
C0047,2024,66.37,17.89,4.01
C0048,2015,73.08,46.77,4.11
C0048,2016,76.84,24.45,3.15
C0048,2017,80.34,42.10,4.80
C0048,2018,63.89,45.87,5.38
C0048,2019,65.48,48.45,4.75
C0048,2020,50.95,23.02,3.72
C0048,2021,75.99,20.42,5.68
C0048,2022,81.07,27.58,2.91
C0048,2023,70.44,32.19,4.27
C0048,2024,65.06,37.63,3.88
C0049,2015,63.33,37.68,5.21
C0049,2016,75.80,14.67,3.50
C0049,2017,63.23,34.47,3.77
C0049,2018,73.96,16.71,3.27
C0049,2019,87.08,38.45,1.70
C0049,2020,63.22,49.06,5.43
C0049,2021,52.73,40.84,5.31
C0049,2022,84.96,37.79,4.51
C0049,2023,60.94,13.10,2.74
C0049,2024,89.54,17.39,2.78
C0050,2015,83.60,24.21,1.18
C0050,2016,67.08,47.34,1.39
C0050,2017,75.13,23.24,3.57
C0050,2018,61.10,42.55,1.25
C0050,2019,53.37,14.15,1.50
C0050,2020,71.03,36.48,2.26
C0050,2021,66.99,41.16,2.87
C0050,2022,88.80,31.72,3.45
C0050,2023,73.90,40.67,2.62
C0050,2024,79.89,38.95,5.70
C0051,2015,55.41,29.08,5.75
C0051,2016,78.95,44.62,1.28
C0051,2017,52.25,23.67,5.93
C0051,2018,74.52,27.02,1.86
C0051,2019,83.54,31.59,2.66
C0051,2020,69.32,15.23,5.19
C0051,2021,58.60,30.61,4.44
C0051,2022,67.75,22.96,1.29
C0051,2023,83.64,20.27,4.87
C0051,2024,78.58,33.07,4.32
C0052,2015,74.22,23.18,5.75
C0052,2016,77.75,44.22,5.55
C0052,2017,83.37,26.40,5.88
C0052,2018,56.07,26.52,3.27
C0052,2019,83.68,49.28,4.53
C0052,2020,82.26,23.66,5.81
C0052,2021,69.10,15.26,1.01
C0052,2022,66.12,45.06,4.94
C0052,2023,87.30,46.68,1.27
C0052,2024,82.78,19.06,5.99
C0053,2015,89.55,45.28,1.07
C0053,2016,75.67,29.78,3.77
C0053,2017,51.26,11.74,3.60
C0053,2018,56.16,31.95,2.52
C0053,2019,82.81,43.95,4.66
C0053,2020,75.56,25.87,2.28
C0053,2021,57.92,32.04,2.45
C0053,2022,50.48,15.62,1.90
C0053,2023,60.52,43.69,4.57
C0053,2024,55.50,14.28,1.85
C0054,2015,85.05,13.78,5.49
C0054,2016,85.31,47.34,2.44
C0054,2017,83.69,44.94,3.59
C0054,2018,53.78,32.99,3.38
C0054,2019,55.40,14.25,4.51
C0054,2020,55.42,31.84,2.17
C0054,2021,60.34,46.82,5.19
C0054,2022,52.92,34.49,4.69
C0054,2023,89.26,17.93,2.71
C0054,2024,84.21,46.23,1.60
C0055,2015,52.77,44.62,3.52
C0055,2016,55.75,31.86,5.90
C0055,2017,60.49,44.09,1.12
C0055,2018,81.00,12.25,5.22
C0055,2019,78.56,28.45,4.50
C0055,2020,75.22,17.12,1.92
C0055,2021,86.49,43.50,3.38
C0055,2022,51.45,48.85,4.14
C0055,2023,56.45,47.23,4.48
C0055,2024,57.59,30.13,5.61
C0056,2015,52.39,30.44,5.37
C0056,2016,74.73,46.33,2.64
C0056,2017,58.39,38.87,1.60
C0056,2018,69.31,12.98,1.52
C0056,2019,77.42,15.13,5.84
C0056,2020,73.82,48.07,5.78
C0056,2021,61.61,24.64,5.10
C0056,2022,66.57,17.49,5.90
C0056,2023,63.59,39.42,2.37
C0056,2024,84.10,45.19,5.13
C0057,2015,66.80,18.26,3.51
C0057,2016,52.47,20.06,5.00
C0057,2017,74.77,46.00,4.05
C0057,2018,57.91,10.53,5.23
C0057,2019,63.55,46.32,2.99
C0057,2020,63.11,11.57,5.95
C0057,2021,52.90,13.82,2.10
C0057,2022,88.04,44.49,4.36
C0057,2023,71.88,19.94,5.01
C0057,2024,56.25,18.99,3.93
C0058,2015,72.23,43.77,2.45
C0058,2016,68.06,31.69,3.81
C0058,2017,63.79,24.02,3.52
C0058,2018,68.90,38.57,1.95
C0058,2019,76.78,42.39,4.82
C0058,2020,57.98,44.51,2.34
C0058,2021,71.52,14.77,5.16
C0058,2022,82.52,33.30,2.07
C0058,2023,58.90,37.13,3.51
C0058,2024,70.62,14.66,4.48
C0059,2015,88.63,34.41,5.98
C0059,2016,82.02,11.28,2.35
C0059,2017,73.72,23.66,4.18
C0059,2018,79.96,16.88,1.77
C0059,2019,71.03,32.45,5.10
C0059,2020,89.46,17.64,5.31
C0059,2021,56.77,41.57,5.44
C0059,2022,78.78,14.85,5.73
C0059,2023,50.24,40.31,2.78
C0059,2024,55.03,13.96,4.33
C0060,2015,78.87,27.70,2.58
C0060,2016,80.37,37.94,5.02
C0060,2017,51.58,16.46,3.08
C0060,2018,63.35,40.09,3.77
C0060,2019,54.73,48.14,1.66
C0060,2020,85.61,24.94,5.25
C0060,2021,68.16,10.01,3.41
C0060,2022,67.70,29.07,4.20
C0060,2023,82.95,46.10,4.35
C0060,2024,77.81,36.60,2.37
C0061,2015,86.89,38.13,4.97
C0061,2016,87.55,41.70,5.17
C0061,2017,62.53,46.33,3.58
C0061,2018,75.94,14.99,5.51
C0061,2019,71.67,33.61,1.80
C0061,2020,73.83,45.59,3.07
C0061,2021,75.01,41.04,1.22
C0061,2022,52.40,19.96,2.99
C0061,2023,85.80,44.98,5.99
C0061,2024,55.61,21.76,3.32
C0062,2015,66.98,26.44,3.10
C0062,2016,61.68,17.43,4.44
C0062,2017,72.15,45.41,1.24
C0062,2018,88.46,13.72,2.77
C0062,2019,66.50,49.76,3.67
C0062,2020,74.13,23.15,3.42
C0062,2021,55.65,38.43,4.21
C0062,2022,68.52,15.15,1.69
C0062,2023,86.63,29.51,3.01
C0062,2024,87.30,11.61,4.17
C0063,2015,71.86,45.14,2.51
C0063,2016,80.74,27.86,4.06
C0063,2017,50.13,39.71,5.79
C0063,2018,71.26,45.78,5.65
C0063,2019,79.30,12.74,4.63
C0063,2020,63.19,30.46,1.89
C0063,2021,86.05,17.58,4.92
C0063,2022,81.19,12.76,3.23
C0063,2023,80.79,34.88,5.76
C0063,2024,50.85,14.56,4.06
C0064,2015,57.36,29.68,2.09
C0064,2016,78.54,17.88,2.56
C0064,2017,72.47,17.91,2.60
C0064,2018,73.14,30.92,2.38
C0064,2019,50.59,32.22,4.86
C0064,2020,67.68,10.14,2.68
C0064,2021,81.46,30.03,1.98
C0064,2022,76.54,36.79,3.98
C0064,2023,72.90,37.14,3.32
C0064,2024,77.86,44.00,1.11
C0065,2015,84.04,45.81,2.40
C0065,2016,83.98,34.91,1.19
C0065,2017,68.24,29.27,4.84
C0065,2018,62.31,18.16,5.76
C0065,2019,64.66,15.07,3.50
C0065,2020,70.86,34.36,3.79
C0065,2021,53.57,47.86,5.23
C0065,2022,73.64,21.13,1.09
C0065,2023,68.13,13.98,1.81
C0065,2024,80.36,26.95,4.27
C0066,2015,60.96,10.02,4.71
C0066,2016,52.65,32.14,4.13
C0066,2017,85.78,11.98,5.70
C0066,2018,52.72,47.24,2.96
C0066,2019,87.09,44.80,3.78
C0066,2020,69.90,14.60,5.78
C0066,2021,52.25,15.88,5.50
C0066,2022,55.03,48.14,1.15
C0066,2023,71.32,42.54,2.76
C0066,2024,50.63,47.68,4.69
C0067,2015,86.61,23.38,1.00
C0067,2016,81.85,14.44,5.31
C0067,2017,70.18,34.62,3.51
C0067,2018,87.05,48.67,1.43
C0067,2019,60.39,15.20,3.21
C0067,2020,84.14,42.76,3.46
C0067,2021,82.21,24.38,2.83
C0067,2022,73.27,14.62,3.27
C0067,2023,62.75,28.36,5.46
C0067,2024,72.33,29.55,2.62
C0068,2015,88.29,10.36,5.80
C0068,2016,53.38,28.98,4.44
C0068,2017,58.04,35.90,5.48
C0068,2018,75.76,40.59,2.04
C0068,2019,77.14,13.94,3.46
C0068,2020,56.58,45.06,3.83
C0068,2021,82.25,16.71,1.43
C0068,2022,87.14,36.33,3.47
C0068,2023,53.19,32.11,5.30
C0068,2024,88.97,45.20,1.26
C0069,2015,61.25,11.55,4.21
C0069,2016,62.35,17.66,5.94
C0069,2017,51.80,14.88,3.64
C0069,2018,69.90,23.10,2.52
C0069,2019,88.19,23.55,3.92
C0069,2020,56.44,13.54,3.71
C0069,2021,73.07,30.57,1.53
C0069,2022,60.98,14.65,2.07
C0069,2023,50.75,12.97,4.35
C0069,2024,89.49,11.33,3.96
C0070,2015,78.65,47.17,2.72
C0070,2016,79.42,25.87,5.89
C0070,2017,76.52,21.35,4.22
C0070,2018,55.75,29.29,2.15
C0070,2019,58.27,16.31,3.36
C0070,2020,65.43,26.25,4.56
C0070,2021,89.82,17.62,4.36
C0070,2022,76.90,22.18,2.23
C0070,2023,67.70,46.97,4.24
C0070,2024,69.39,15.95,2.66
C0071,2015,86.89,28.95,3.29
C0071,2016,57.86,36.43,4.35
C0071,2017,62.83,46.72,3.90
C0071,2018,64.83,46.92,4.56
C0071,2019,85.91,19.89,2.91
C0071,2020,81.07,47.73,4.76
C0071,2021,73.63,23.26,1.08
C0071,2022,62.59,45.80,1.94
C0071,2023,58.09,13.73,5.87
C0071,2024,63.23,17.93,1.43
C0072,2015,87.18,13.16,4.31
C0072,2016,86.41,21.96,5.58
C0072,2017,66.88,44.95,5.30
C0072,2018,63.02,16.37,5.56
C0072,2019,85.38,18.99,5.92
C0072,2020,67.85,18.65,2.79
C0072,2021,51.55,20.99,2.65
C0072,2022,63.83,10.75,1.60
C0072,2023,74.29,26.95,2.01
C0072,2024,87.78,49.05,4.26
C0073,2015,66.98,27.92,2.66
C0073,2016,59.60,42.53,2.71
C0073,2017,65.38,32.86,4.23
C0073,2018,52.28,10.60,1.52
C0073,2019,85.95,33.42,1.28
C0073,2020,51.34,47.86,5.01
C0073,2021,50.04,32.14,4.95
C0073,2022,74.57,31.12,2.93
C0073,2023,56.16,36.81,3.97
C0073,2024,61.84,44.84,2.19
C0074,2015,69.64,32.59,2.84
C0074,2016,81.68,26.26,1.18
